model,dataset,split,base_accuracy,family,probe,AUROC,AUPRC,Brier,ECE,AURC,E_AURC,risk_at_80cov,acc_at_80cov,risk_at_60cov,acc_at_60cov,risk_at_40cov,acc_at_40cov,failure_capture_at_20abst
gemma2_9b_it,mmlu,0,0.727,contrastive_hidden,supcon_mlp,0.8348903557842917,0.9302786429763097,0.16864315578282113,0.14597092189843303,0.09590800106775797,0.05459078839307613,0.17500000000000004,0.825,0.10555555555555551,0.8944444444444445,0.04166666666666663,0.9583333333333334,0.4878048780487805
gemma2_9b_it,mmlu,0,0.727,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.8288207652718729,0.9256237737228663,0.20077948506043564,0.20004672475887147,0.09963834043989633,0.05832112776521449,0.17500000000000004,0.825,0.10555555555555551,0.8944444444444445,0.04166666666666663,0.9583333333333334,0.4878048780487805
gemma2_9b_it,mmlu,1,0.727,cheap_conf_option,logreg,0.8786081897516222,0.9555097859412499,0.13938813277816434,0.11119295224449163,0.07643705360365619,0.03511984092897434,0.16666666666666663,0.8333333333333334,0.07222222222222219,0.9277777777777778,0.008333333333333304,0.9916666666666667,0.5121951219512195
gemma2_9b_it,mmlu,1,0.727,hidden_summaries,logreg,0.8806780040277467,0.9525971222177594,0.13745193153234075,0.11945789989351582,0.07831803810470404,0.0370008254300222,0.15833333333333333,0.8416666666666667,0.06666666666666665,0.9333333333333333,0.01666666666666672,0.9833333333333333,0.5365853658536586
gemma2_9b_it,mmlu,1,0.727,cheap_plus_summaries,logreg,0.9009286193779369,0.9630126487139968,0.1270059152034046,0.09974915035826175,0.0702086806300269,0.028891467955345057,0.15416666666666667,0.8458333333333333,0.061111111111111116,0.9388888888888889,0.01666666666666672,0.9833333333333333,0.5487804878048781
gemma2_9b_it,mmlu,1,0.727,pca_hidden,logreg,0.8868315059297383,0.9569754673145072,0.13117757000792263,0.08279871565550315,0.07495749141222992,0.033640278737548074,0.15000000000000002,0.85,0.06666666666666665,0.9333333333333333,0.008333333333333304,0.9916666666666667,0.5609756097560976
gemma2_9b_it,mmlu,1,0.727,cheap_plus_pca_hidden,hgb,0.909543522040725,0.9651491249651304,0.11610326264040846,0.08112453416638699,0.06831981901795288,0.027002606343271035,0.14166666666666672,0.8583333333333333,0.061111111111111116,0.9388888888888889,0.025000000000000022,0.975,0.5853658536585366
gemma2_9b_it,mmlu,1,0.727,contrastive_hidden,supcon_mlp,0.8768180801074066,0.9508018317626389,0.14052797805938455,0.10335837516254844,0.07970028239443111,0.038383069719749266,0.15000000000000002,0.85,0.08333333333333337,0.9166666666666666,0.025000000000000022,0.975,0.5609756097560976
gemma2_9b_it,mmlu,1,0.727,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.8786641306780041,0.9498807566870584,0.16201346368384836,0.15977157730569483,0.08028105347557898,0.03896384080089714,0.15416666666666667,0.8458333333333333,0.07777777777777772,0.9222222222222223,0.033333333333333326,0.9666666666666667,0.5487804878048781
gemma2_9b_it,mmlu,2,0.727,cheap_conf_option,logreg,0.8594204520026851,0.9457170203111178,0.14660818985330973,0.1125844059217175,0.08413594715199235,0.04281873447731051,0.18333333333333335,0.8166666666666667,0.07777777777777772,0.9222222222222223,0.01666666666666672,0.9833333333333333,0.4634146341463415
gemma2_9b_it,mmlu,2,0.727,hidden_summaries,logreg,0.8315618706645782,0.9280458664393578,0.15952003060005793,0.1125844620010662,0.09779401659786541,0.05647680392318356,0.1875,0.8125,0.09444444444444444,0.9055555555555556,0.04166666666666663,0.9583333333333334,0.45121951219512196
gemma2_9b_it,mmlu,2,0.727,cheap_plus_summaries,extratrees,0.8680353546654733,0.9475342339420575,0.12748541061224533,0.0640817859106543,0.08241800845041304,0.0411007957757312,0.17500000000000004,0.825,0.07777777777777772,0.9222222222222223,0.033333333333333326,0.9666666666666667,0.4878048780487805
gemma2_9b_it,mmlu,2,0.727,pca_hidden,logreg,0.8421906466771091,0.9382041312788881,0.16386490201337225,0.10681024357980917,0.09003361121104904,0.048716398536367195,0.1791666666666667,0.8208333333333333,0.11111111111111116,0.8888888888888888,0.033333333333333326,0.9666666666666667,0.47560975609756095
gemma2_9b_it,mmlu,2,0.727,cheap_plus_pca_hidden,extratrees,0.872230924144104,0.9521550187180712,0.12728126204626894,0.05567099410550213,0.07902376713964154,0.0377065544649597,0.1791666666666667,0.8208333333333333,0.06666666666666665,0.9333333333333333,0.025000000000000022,0.975,0.47560975609756095
gemma2_9b_it,mmlu,2,0.727,contrastive_hidden,supcon_mlp,0.7799843365406132,0.8861985080265907,0.1975397957255997,0.17803518112749117,0.13179166694032535,0.0904744542656435,0.1958333333333333,0.8041666666666667,0.1333333333333333,0.8666666666666667,0.08333333333333337,0.9166666666666666,0.4268292682926829
gemma2_9b_it,mmlu,2,0.727,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.8149474155292012,0.9219139485837312,0.21667369449683002,0.2147535828807482,0.10279871130749643,0.06148149863281459,0.19166666666666665,0.8083333333333333,0.1166666666666667,0.8833333333333333,0.05833333333333335,0.9416666666666667,0.43902439024390244
gemma2_9b_it,mmlu,3,0.727,cheap_conf_option,logreg,0.8353658536585366,0.9387252737370508,0.1776003945953785,0.1607387093803161,0.09017230814815955,0.0488550954734777,0.19999999999999996,0.8,0.10555555555555551,0.8944444444444445,0.025000000000000022,0.975,0.4146341463414634
gemma2_9b_it,mmlu,3,0.727,hidden_summaries,extratrees,0.8285410606399642,0.9294699954287594,0.14690255279324616,0.06284213301173619,0.09673009440073044,0.05541288172604859,0.17500000000000004,0.825,0.1166666666666667,0.8833333333333333,0.05833333333333335,0.9416666666666667,0.4878048780487805
gemma2_9b_it,mmlu,3,0.727,cheap_plus_summaries,extratrees,0.8526515999104946,0.9429305201501501,0.1382906204445166,0.060145583540320485,0.08632878082828709,0.04501156815360524,0.1875,0.8125,0.07777777777777772,0.9222222222222223,0.033333333333333326,0.9666666666666667,0.45121951219512196
gemma2_9b_it,mmlu,3,0.727,pca_hidden,extratrees,0.8614902662788096,0.945976457801883,0.13515772849933483,0.10500674871704203,0.08367841730717014,0.0423612046324883,0.15833333333333333,0.8416666666666667,0.11111111111111116,0.8888888888888888,0.01666666666666672,0.9833333333333333,0.5365853658536586
gemma2_9b_it,mmlu,3,0.727,cheap_plus_pca_hidden,extratrees,0.8701611098679795,0.949499401715612,0.13150815929099843,0.05731978682482559,0.08084877643583624,0.039531563761154395,0.17083333333333328,0.8291666666666667,0.07777777777777772,0.9222222222222223,0.033333333333333326,0.9666666666666667,0.5
gemma2_9b_it,mmlu,3,0.727,contrastive_hidden,supcon_mlp,0.8516446632356232,0.9432466301485092,0.16254961908313148,0.1419620863443318,0.08615235643095094,0.0448351437562691,0.1875,0.8125,0.0888888888888889,0.9111111111111111,0.033333333333333326,0.9666666666666667,0.45121951219512196
gemma2_9b_it,mmlu,3,0.727,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.8450436339225779,0.9387732660750028,0.1927851137782924,0.18798884636067426,0.08955715468825023,0.04823994201356839,0.18333333333333335,0.8166666666666667,0.09444444444444444,0.9055555555555556,0.025000000000000022,0.975,0.4634146341463415
gemma2_9b_it,mmlu,4,0.727,cheap_conf_option,mlp,0.8766502573282614,0.9536933978697416,0.1262047018719822,0.06239427901804446,0.07788651290528399,0.03656930023060215,0.1791666666666667,0.8208333333333333,0.061111111111111116,0.9388888888888889,0.01666666666666672,0.9833333333333333,0.47560975609756095
gemma2_9b_it,mmlu,4,0.727,hidden_summaries,logreg,0.8435332289102707,0.9411284336742345,0.16695094363737545,0.1541499229338099,0.0880151256700532,0.04669791299537135,0.18333333333333335,0.8166666666666667,0.09444444444444444,0.9055555555555556,0.033333333333333326,0.9666666666666667,0.4634146341463415
gemma2_9b_it,mmlu,4,0.727,cheap_plus_summaries,extratrees,0.8744126202729917,0.9476688486701381,0.1276883573905583,0.058561875786906255,0.08233072112233526,0.04101350844765342,0.17083333333333328,0.8291666666666667,0.061111111111111116,0.9388888888888889,0.01666666666666672,0.9833333333333333,0.5
gemma2_9b_it,mmlu,4,0.727,pca_hidden,extratrees,0.8774893712239875,0.9540437320732797,0.13498382808336767,0.08930708485411061,0.0775050355547696,0.03618782288008776,0.16666666666666663,0.8333333333333334,0.08333333333333337,0.9166666666666666,0.01666666666666672,0.9833333333333333,0.5121951219512195
gemma2_9b_it,mmlu,4,0.727,cheap_plus_pca_hidden,extratrees,0.8819087044081451,0.952301840555984,0.12264366101063028,0.07769474131275105,0.07872925486363946,0.03741204218895762,0.17500000000000004,0.825,0.06666666666666665,0.9333333333333333,0.01666666666666672,0.9833333333333333,0.4878048780487805
gemma2_9b_it,mmlu,4,0.727,contrastive_hidden,supcon_mlp,0.8275341239650928,0.920487101954183,0.16954765443561645,0.1446049156618149,0.10346409557381905,0.06214688289913721,0.18333333333333335,0.8166666666666667,0.11111111111111116,0.8888888888888888,0.04166666666666663,0.9583333333333334,0.4634146341463415
gemma2_9b_it,mmlu,4,0.727,cheap_plus_contrastive,supcon_embedding_plus_logreg,0.8415193555605281,0.9361412885555039,0.19884110373302502,0.19544704212315622,0.0914773648460785,0.05016015217139666,0.1791666666666667,0.8208333333333333,0.09999999999999998,0.9,0.04166666666666663,0.9583333333333334,0.47560975609756095
llama31_8b_instruct,arc_challenge,0,0.7993311036789298,cheap_conf_option,logreg,0.8966049382716049,0.9750547798497508,0.14417043060627285,0.1853346916815559,0.042864718748621786,0.021384189283173982,0.11111111111111116,0.8888888888888888,0.01851851851851849,0.9814814814814815,0.0,1.0,0.5555555555555556
llama31_8b_instruct,arc_challenge,0,0.7993311036789298,hidden_summaries,extratrees,0.8464506172839507,0.9644467452863319,0.1349592998200689,0.14547700105356723,0.052664713804097325,0.031184184338649522,0.13888888888888884,0.8611111111111112,0.01851851851851849,0.9814814814814815,0.0,1.0,0.4444444444444444
