model,dataset,split,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
llama31_8b_instruct,arc_challenge,3,128,0.8256172839506173,0.746141975308642,-0.07947530864197527,0.9349632263183594
llama31_8b_instruct,arc_challenge,3,256,0.8256172839506173,0.7492283950617286,-0.07638888888888873,0.9995976686477661
llama31_8b_instruct,arc_challenge,4,8,0.8912037037037037,0.8834876543209876,-0.007716049382716084,0.41030067205429077
llama31_8b_instruct,arc_challenge,4,16,0.8912037037037037,0.8912037037037036,-1.1102230246251565e-16,0.5449627637863159
llama31_8b_instruct,arc_challenge,4,32,0.8912037037037037,0.8912037037037037,0.0,0.6780703067779541
llama31_8b_instruct,arc_challenge,4,64,0.8912037037037037,0.8950617283950617,0.0038580246913579863,0.8119077086448669
llama31_8b_instruct,arc_challenge,4,128,0.8912037037037037,0.8510802469135803,-0.04012345679012341,0.9332503080368042
llama31_8b_instruct,arc_challenge,4,256,0.8912037037037037,0.8287037037037037,-0.0625,0.9995559453964233
llama31_8b_instruct,commonsenseqa,0,8,0.7557172557172558,0.768018018018018,0.012300762300762158,0.40144795179367065
llama31_8b_instruct,commonsenseqa,0,16,0.7557172557172558,0.7644952644952645,0.008778008778008717,0.51826012134552
llama31_8b_instruct,commonsenseqa,0,32,0.7557172557172558,0.7342342342342343,-0.021483021483021503,0.6270008087158203
llama31_8b_instruct,commonsenseqa,0,64,0.7557172557172558,0.7313467313467313,-0.02437052437052445,0.7324466705322266
llama31_8b_instruct,commonsenseqa,0,128,0.7557172557172558,0.7185839685839687,-0.03713328713328712,0.8271543979644775
llama31_8b_instruct,commonsenseqa,0,256,0.7557172557172558,0.6781011781011782,-0.07761607761607758,0.9119411706924438
llama31_8b_instruct,commonsenseqa,1,8,0.8138715638715639,0.8294640794640794,0.01559251559251551,0.40023404359817505
llama31_8b_instruct,commonsenseqa,1,16,0.8138715638715639,0.8364518364518365,0.02258027258027262,0.5192209482192993
llama31_8b_instruct,commonsenseqa,1,32,0.8138715638715639,0.7997227997227997,-0.014148764148764204,0.6268078684806824
llama31_8b_instruct,commonsenseqa,1,64,0.8138715638715639,0.7867290367290367,-0.027142527142527184,0.7327538728713989
