model,dataset,split,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
gemma2_9b_it,mmlu,4,final,0.8704967554262699,0.8621056164690087,0.8623853211009174,-0.008111434325352551
gemma2_9b_it,mmlu,4,all,0.8704967554262699,0.841519355560528,0.8473931528306109,-0.023103602595659023
llama31_8b_instruct,arc_challenge,0,early,0.8966049382716049,0.5694444444444444,0.845679012345679,-0.05092592592592593
llama31_8b_instruct,arc_challenge,0,middle,0.8966049382716049,0.8155864197530864,0.8503086419753085,-0.04629629629629639
llama31_8b_instruct,arc_challenge,0,late,0.8966049382716049,0.8001543209876543,0.8209876543209876,-0.07561728395061729
llama31_8b_instruct,arc_challenge,0,final,0.8966049382716049,0.8271604938271605,0.847993827160494,-0.04861111111111094
llama31_8b_instruct,arc_challenge,0,all,0.8966049382716049,0.8333333333333333,0.8541666666666666,-0.042438271604938294
llama31_8b_instruct,arc_challenge,1,early,0.9020061728395062,0.4737654320987654,0.7530864197530864,-0.1489197530864198
llama31_8b_instruct,arc_challenge,1,middle,0.9020061728395062,0.7399691358024693,0.7893518518518519,-0.11265432098765438
llama31_8b_instruct,arc_challenge,1,late,0.9020061728395062,0.7584876543209876,0.7777777777777779,-0.12422839506172834
llama31_8b_instruct,arc_challenge,1,final,0.9020061728395062,0.7515432098765433,0.7762345679012346,-0.12577160493827166
llama31_8b_instruct,arc_challenge,1,all,0.9020061728395062,0.8148148148148148,0.8279320987654321,-0.07407407407407418
llama31_8b_instruct,arc_challenge,2,early,0.8132716049382716,0.45833333333333337,0.742283950617284,-0.07098765432098753
llama31_8b_instruct,arc_challenge,2,middle,0.8132716049382716,0.6103395061728395,0.7253086419753086,-0.08796296296296291
llama31_8b_instruct,arc_challenge,2,late,0.8132716049382716,0.7530864197530864,0.7777777777777777,-0.035493827160493874
llama31_8b_instruct,arc_challenge,2,final,0.8132716049382716,0.7330246913580247,0.7415123456790123,-0.0717592592592593
llama31_8b_instruct,arc_challenge,2,all,0.8132716049382716,0.7615740740740741,0.7885802469135802,-0.024691358024691357
llama31_8b_instruct,arc_challenge,3,early,0.8256172839506173,0.492283950617284,0.654320987654321,-0.17129629629629628
llama31_8b_instruct,arc_challenge,3,middle,0.8256172839506173,0.6890432098765433,0.7646604938271605,-0.06095679012345678
llama31_8b_instruct,arc_challenge,3,late,0.8256172839506173,0.7546296296296295,0.7615740740740741,-0.06404320987654322
llama31_8b_instruct,arc_challenge,3,final,0.8256172839506173,0.7268518518518519,0.7368827160493827,-0.08873456790123457
llama31_8b_instruct,arc_challenge,3,all,0.8256172839506173,0.79320987654321,0.8125,-0.013117283950617287
llama31_8b_instruct,arc_challenge,4,early,0.8912037037037037,0.5378086419753086,0.8032407407407407,-0.08796296296296302
llama31_8b_instruct,arc_challenge,4,middle,0.8912037037037037,0.7831790123456791,0.8695987654320987,-0.021604938271605034
llama31_8b_instruct,arc_challenge,4,late,0.8912037037037037,0.8325617283950618,0.8464506172839507,-0.04475308641975306
llama31_8b_instruct,arc_challenge,4,final,0.8912037037037037,0.7770061728395061,0.8125,-0.07870370370370372
llama31_8b_instruct,arc_challenge,4,all,0.8912037037037037,0.8904320987654321,0.8950617283950617,0.0038580246913579863
llama31_8b_instruct,commonsenseqa,0,early,0.7557172557172558,0.5254100254100255,0.7224532224532224,-0.03326403326403338
llama31_8b_instruct,commonsenseqa,0,middle,0.7557172557172558,0.7084199584199584,0.7291522291522291,-0.026565026565026684
llama31_8b_instruct,commonsenseqa,0,late,0.7557172557172558,0.7207784707784708,0.73001848001848,-0.025698775698775767
llama31_8b_instruct,commonsenseqa,0,final,0.7557172557172558,0.7297297297297297,0.7308269808269808,-0.024890274890274955
llama31_8b_instruct,commonsenseqa,0,all,0.7557172557172558,0.7267267267267268,0.7313467313467313,-0.02437052437052445
llama31_8b_instruct,commonsenseqa,1,early,0.8138715638715639,0.5277200277200277,0.7461884961884961,-0.06768306768306775
llama31_8b_instruct,commonsenseqa,1,middle,0.8138715638715639,0.7368329868329869,0.7931392931392932,-0.020732270732270686
llama31_8b_instruct,commonsenseqa,1,late,0.8138715638715639,0.7846500346500346,0.8005313005313005,-0.013340263340263392
llama31_8b_instruct,commonsenseqa,1,final,0.8138715638715639,0.7752367752367751,0.787017787017787,-0.02685377685377688
llama31_8b_instruct,commonsenseqa,1,all,0.8138715638715639,0.7578540078540078,0.7867290367290367,-0.027142527142527184
llama31_8b_instruct,commonsenseqa,2,early,0.8003580503580503,0.6011781011781012,0.7723492723492724,-0.02800877800877788
llama31_8b_instruct,commonsenseqa,2,middle,0.8003580503580503,0.734984984984985,0.8047470547470547,0.004389004389004358
llama31_8b_instruct,commonsenseqa,2,late,0.8003580503580503,0.8054978054978055,0.8068260568260568,0.006468006468006493
llama31_8b_instruct,commonsenseqa,2,final,0.8003580503580503,0.7876530376530376,0.8007623007623007,0.0004042504042504058
llama31_8b_instruct,commonsenseqa,2,all,0.8003580503580503,0.7827442827442828,0.8078078078078078,0.00744975744975751
llama31_8b_instruct,commonsenseqa,3,early,0.8258258258258259,0.6152691152691153,0.8128898128898128,-0.012936012936013097
llama31_8b_instruct,commonsenseqa,3,middle,0.8258258258258259,0.714021714021714,0.7914067914067915,-0.03441903441903438
llama31_8b_instruct,commonsenseqa,3,late,0.8258258258258259,0.7797990297990297,0.7927350427350426,-0.03309078309078328
llama31_8b_instruct,commonsenseqa,3,final,0.8258258258258259,0.7831485331485333,0.7945830445830445,-0.031242781242781348
llama31_8b_instruct,commonsenseqa,3,all,0.8258258258258259,0.7777777777777778,0.7994917994917994,-0.026334026334026484
llama31_8b_instruct,commonsenseqa,4,early,0.7567567567567568,0.5523215523215522,0.708073458073458,-0.04868329868329879
llama31_8b_instruct,commonsenseqa,4,middle,0.7567567567567568,0.7266112266112267,0.7634557634557635,0.006699006699006693
llama31_8b_instruct,commonsenseqa,4,late,0.7567567567567568,0.7513282513282513,0.7385654885654886,-0.01819126819126815
llama31_8b_instruct,commonsenseqa,4,final,0.7567567567567568,0.7540425040425041,0.7543890043890044,-0.0023677523677524404
llama31_8b_instruct,commonsenseqa,4,all,0.7567567567567568,0.7402402402402402,0.7566990066990066,-5.775005775021658e-05
llama31_8b_instruct,hellaswag,0,early,0.7880379874722166,0.49964639321074966,0.74136189129117,-0.04667609618104662
llama31_8b_instruct,hellaswag,0,middle,0.7880379874722166,0.620125277833906,0.7456051727621741,-0.042432814710042566
llama31_8b_instruct,hellaswag,0,late,0.7880379874722166,0.7427763184481714,0.7628308749242272,-0.025207112547989463
llama31_8b_instruct,hellaswag,0,final,0.7880379874722166,0.726762982420691,0.7557587391392201,-0.03227924833299656
llama31_8b_instruct,hellaswag,0,all,0.7880379874722166,0.6999898969488786,0.7448474439280663,-0.043190543544150306
llama31_8b_instruct,hellaswag,1,early,0.7750555667811679,0.5142958173368358,0.7311072944029097,-0.04394827237825827
llama31_8b_instruct,hellaswag,1,middle,0.7750555667811679,0.6510406142655082,0.7402505556678118,-0.0348050111133561
llama31_8b_instruct,hellaswag,1,late,0.7750555667811679,0.7363103657304506,0.7343402707617702,-0.04071529601939772
llama31_8b_instruct,hellaswag,1,final,0.7750555667811679,0.7407557082238836,0.7534350373812891,-0.021620529399878796
llama31_8b_instruct,hellaswag,1,all,0.7750555667811679,0.726762982420691,0.7401495251565973,-0.03490604162457067
llama31_8b_instruct,hellaswag,2,early,0.7760153566377046,0.49772681349767633,0.7281268943220853,-0.04788846231561927
llama31_8b_instruct,hellaswag,2,middle,0.7760153566377046,0.6748838149121035,0.7683370377854113,-0.007678318852293309
llama31_8b_instruct,hellaswag,2,late,0.7760153566377046,0.7254495857749039,0.7384320064659526,-0.03758335017175196
llama31_8b_instruct,hellaswag,2,final,0.7760153566377046,0.728278440088907,0.7478278440088907,-0.028187512628813916
llama31_8b_instruct,hellaswag,2,all,0.7760153566377046,0.7151444736310366,0.7527783390583956,-0.02323701757930896
llama31_8b_instruct,hellaswag,3,early,0.7766215397049908,0.5007072135785007,0.7285310163669428,-0.048090523338047975
