model,dataset,family,auroc,AURC,E_AURC,risk80,risk60,risk40,fc20
gemma2_9b_it,mmlu,Contrastive hidden,0.8341743119266056,0.09940328048145683,0.05808606780677502,0.17833333333333332,0.10444444444444442,0.044999999999999964,0.47804878048780486
gemma2_9b_it,mmlu,PCA hidden emb.,0.865484448422466,0.08233831524173943,0.04102110256705756,0.16666666666666666,0.08999999999999996,0.02166666666666666,0.5121951219512195
llama31_8b_instruct,arc_challenge,Confidence/option,0.8657407407407408,0.0514013353904791,0.029920805925031303,0.10833333333333331,0.03333333333333326,0.00555555555555554,0.5666666666666667
llama31_8b_instruct,arc_challenge,Conf./option + contrastive,0.8074074074074075,0.06576586321539993,0.044285333749952124,0.13888888888888884,0.07407407407407403,0.022222222222222178,0.4444444444444445
llama31_8b_instruct,arc_challenge,Conf./option + PCA hidden,0.8597222222222222,0.052307342136391335,0.03082681267094354,0.1222222222222222,0.03333333333333326,0.01111111111111108,0.5111111111111111
llama31_8b_instruct,arc_challenge,Contrastive hidden,0.7594135802469136,0.08227697131973824,0.060796441854290416,0.14722222222222217,0.09629629629629624,0.06111111111111106,0.4111111111111111
llama31_8b_instruct,arc_challenge,PCA hidden emb.,0.8248456790123457,0.06314620698457102,0.041665677519123215,0.12499999999999996,0.05925925925925918,0.03888888888888884,0.5
llama31_8b_instruct,commonsenseqa,Confidence/option,0.7905058905058906,0.10599370976817472,0.06881204449256531,0.17749999999999996,0.12444444444444439,0.06833333333333327,0.45384615384615384
llama31_8b_instruct,commonsenseqa,Conf./option + contrastive,0.7630977130977131,0.11494520415424629,0.07776353887863686,0.1958333333333333,0.14111111111111108,0.07833333333333328,0.3974358974358974
llama31_8b_instruct,commonsenseqa,Conf./option + PCA hidden,0.7991221991221991,0.10433789703435228,0.06715623175874283,0.1766666666666666,0.11333333333333331,0.07333333333333326,0.4564102564102564
llama31_8b_instruct,commonsenseqa,Contrastive hidden,0.7427870177870177,0.12863760057327472,0.09145593529766526,0.19333333333333333,0.1555555555555555,0.0983333333333333,0.40512820512820513
llama31_8b_instruct,commonsenseqa,PCA hidden emb.,0.7724416724416725,0.11163822011516884,0.07445655483955935,0.18999999999999995,0.13666666666666666,0.07333333333333328,0.41538461538461535
llama31_8b_instruct,hellaswag,Confidence/option,0.7688118811881188,0.15530500141806586,0.09495236978114296,0.2525,0.1799999999999999,0.1066666666666666,0.38163265306122446
llama31_8b_instruct,hellaswag,Conf./option + contrastive,0.7152556071933723,0.1798878532100758,0.11953522157315295,0.2683333333333333,0.21333333333333324,0.16499999999999998,0.34285714285714286
llama31_8b_instruct,hellaswag,Conf./option + PCA hidden,0.7742170135380885,0.15247048526092705,0.09211785362400415,0.24499999999999994,0.1822222222222222,0.11499999999999995,0.39999999999999997
llama31_8b_instruct,hellaswag,Contrastive hidden,0.70421297231764,0.19238530940483456,0.1320326777679117,0.26833333333333326,0.2155555555555555,0.16833333333333328,0.34285714285714286
llama31_8b_instruct,hellaswag,PCA hidden emb.,0.7109315013133967,0.18592219096515142,0.12556955932822852,0.27166666666666667,0.21999999999999992,0.1583333333333333,0.33469387755102037
llama31_8b_instruct,mmlu,Confidence/option,0.8188718140929534,0.16068240677105594,0.0738426683167879,0.3175,0.19555555555555554,0.09499999999999992,0.34310344827586203
llama31_8b_instruct,mmlu,Conf./option + contrastive,0.7724981259370315,0.19008016462258848,0.10324042616832045,0.32,0.22999999999999993,0.12499999999999996,0.3379310344827586
llama31_8b_instruct,mmlu,Conf./option + PCA hidden,0.8239926911544228,0.15846786325261034,0.0716281247983423,0.3116666666666666,0.19666666666666663,0.08499999999999992,0.35517241379310344
llama31_8b_instruct,mmlu,Contrastive hidden,0.7701180659670165,0.19025031331276193,0.10341057485849392,0.3258333333333333,0.2333333333333333,0.11999999999999997,0.3258620689655172
llama31_8b_instruct,mmlu,PCA hidden emb.,0.8002998500749625,0.169067094460114,0.08222735600584599,0.31249999999999994,0.21888888888888883,0.10666666666666658,0.3534482758620689
