model,dataset,seed,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
falcon3_7b_instruct,commonsenseqa,2025,8,0.8431105931105932,0.8521756021756022,0.0090650090650089,0.300796627998352
falcon3_7b_instruct,commonsenseqa,2025,16,0.8431105931105932,0.8367650867650867,-0.0063455063455065,0.419358491897583
falcon3_7b_instruct,commonsenseqa,2025,32,0.8431105931105932,0.8253690753690754,-0.0177415177415177,0.5311024188995361
falcon3_7b_instruct,commonsenseqa,2025,64,0.8431105931105932,0.8138435638435638,-0.0292670292670294,0.641816258430481
falcon3_7b_instruct,commonsenseqa,2025,128,0.8431105931105932,0.7937710437710439,-0.0493395493395493,0.75107741355896
falcon3_7b_instruct,commonsenseqa,2025,256,0.8431105931105932,0.7511655011655012,-0.091945091945092,0.8631231188774109
falcon3_7b_instruct,hellaswag,42,8,0.7894736842105263,0.8020833333333333,0.0126096491228069,0.4944003224372864
falcon3_7b_instruct,hellaswag,42,16,0.7894736842105263,0.8015960038986354,0.012122319688109,0.5816601514816284
falcon3_7b_instruct,hellaswag,42,32,0.7894736842105263,0.8048245614035088,0.0153508771929824,0.6647524833679199
falcon3_7b_instruct,hellaswag,42,64,0.7894736842105263,0.8023269980506823,0.0128533138401559,0.7510683536529541
falcon3_7b_instruct,hellaswag,42,128,0.7894736842105263,0.764437134502924,-0.0250365497076022,0.8356499671936035
falcon3_7b_instruct,hellaswag,42,256,0.7894736842105263,0.6875,-0.1019736842105263,0.9145334959030152
falcon3_7b_instruct,hellaswag,7,8,0.8515472709551657,0.8567860623781676,0.0052387914230018,0.4964945912361145
falcon3_7b_instruct,hellaswag,7,16,0.8515472709551657,0.855567738791423,0.0040204678362573,0.5842044353485107
falcon3_7b_instruct,hellaswag,7,32,0.8515472709551657,0.868969298245614,0.0174220272904482,0.6660474538803101
falcon3_7b_instruct,hellaswag,7,64,0.8515472709551657,0.8557504873294347,0.004203216374269,0.7517713308334351
falcon3_7b_instruct,hellaswag,7,128,0.8515472709551657,0.8266325536062379,-0.0249147173489278,0.8357198238372803
falcon3_7b_instruct,hellaswag,7,256,0.8515472709551657,0.7928849902534113,-0.0586622807017543,0.9144688844680786
falcon3_7b_instruct,hellaswag,123,8,0.7927022417153996,0.8053118908382066,0.012609649122807,0.4945761263370514
falcon3_7b_instruct,hellaswag,123,16,0.7927022417153996,0.8093932748538012,0.0166910331384015,0.5808476805686951
falcon3_7b_instruct,hellaswag,123,32,0.7927022417153996,0.8146929824561403,0.0219907407407407,0.6645982265472412
