model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
falcon3_7b_instruct,commonsenseqa,pca_hidden_embeddings,extratrees,5,0.768104118104118,0.032836219179661265,0.7118959501794999,0.8243596631527857
falcon3_7b_instruct,hellaswag,cheap_confidence_option,logreg,5,0.810428849902534,0.032543210982952805,0.7552804856439497,0.8627512182169166
falcon3_7b_instruct,hellaswag,cheap_plus_hidden_summary,logreg,5,0.8220394736842105,0.034954280162620116,0.7695540644114545,0.8692940782670775
falcon3_7b_instruct,hellaswag,cheap_plus_pca_hidden,extratrees,5,0.8166910331384015,0.03570081547785178,0.7633056068551058,0.8667479388736998
falcon3_7b_instruct,hellaswag,direct_pmax,none,5,0.7052631578947368,0.02791598486714987,0.637884387801235,0.7711110038566442
falcon3_7b_instruct,hellaswag,hidden_summary_only,logreg,5,0.7397904483430799,0.03978114756011459,0.6799255988113696,0.8022586261559159
falcon3_7b_instruct,hellaswag,pca_hidden_embeddings,extratrees,5,0.775,0.025611635125841126,0.7184342327799469,0.8331508407851029
falcon3_7b_instruct,mmlu_all,cheap_confidence_option,logreg,5,0.8027193145837213,0.026247677890085204,0.7510954653473922,0.8505200750615364
falcon3_7b_instruct,mmlu_all,cheap_plus_hidden_summary,extratrees,5,0.815282175451667,0.02857452227325165,0.7662661974806909,0.86328298455019
falcon3_7b_instruct,mmlu_all,cheap_plus_pca_hidden,extratrees,5,0.8192587073943006,0.024910301928228244,0.771001769452942,0.8647744052791193
falcon3_7b_instruct,mmlu_all,direct_pmax,none,5,0.7742410132240641,0.03351341902794182,0.7200340067602811,0.8252358643804595
falcon3_7b_instruct,mmlu_all,hidden_summary_only,extratrees,5,0.7960141553361892,0.01630422515751424,0.7447209388854562,0.8458190125693639
falcon3_7b_instruct,mmlu_all,pca_hidden_embeddings,extratrees,5,0.8144999068727883,0.010298844413735112,0.7659797929598743,0.8599135294967853
mistral7b_v03,arc_challenge,cheap_confidence_option,extratrees,5,0.6854285714285714,0.06019653186836925,0.5525077978465036,0.8150225194800227
mistral7b_v03,arc_challenge,cheap_plus_hidden_summary,extratrees,5,0.6898571428571428,0.05769244636299398,0.5654030211107391,0.8134011654745088
mistral7b_v03,arc_challenge,cheap_plus_pca_hidden,extratrees,5,0.698857142857143,0.05484346927801872,0.5682886902274568,0.8208738620581564
