model,dataset,seed,combined_auroc,drop_when_permute_cheap,drop_when_permute_hidden
mistral7b_v03,mmlu_all,777,0.7274574080059097,0.1934915431614262,0.0587146220970496
mistral7b_v03,mmlu_all,2025,0.7492959047047416,0.2192160302876402,0.0670960493713159
olmo2_7b_instruct,arc_challenge,42,0.8434343434343433,0.2303451178451177,0.0955597643097641
olmo2_7b_instruct,arc_challenge,7,0.6641414141414141,0.1070917508417508,0.0292929292929292
olmo2_7b_instruct,arc_challenge,123,0.69760101010101,0.127104377104377,0.0494107744107743
olmo2_7b_instruct,arc_challenge,777,0.8219696969696969,0.1424663299663299,0.1402356902356901
olmo2_7b_instruct,arc_challenge,2025,0.7626262626262627,0.1544823232323232,0.0696548821548821
olmo2_7b_instruct,commonsenseqa,42,0.7784542533400981,0.1729033955315031,0.1364488791175752
olmo2_7b_instruct,commonsenseqa,7,0.7084390326399458,0.0941935847567505,0.1349098972132964
olmo2_7b_instruct,commonsenseqa,123,0.780483680027059,0.1760414905011557,0.1383129451115245
olmo2_7b_instruct,commonsenseqa,777,0.7732679406956424,0.1803258357291843,0.087921153015014
olmo2_7b_instruct,commonsenseqa,2025,0.7638536557866847,0.1265610613149933,0.1098709059135239
olmo2_7b_instruct,hellaswag,42,0.7652450607902735,0.1190064589665653,0.1756474797365754
olmo2_7b_instruct,hellaswag,7,0.709488981762918,0.1674075481256332,0.1245915653495441
olmo2_7b_instruct,hellaswag,123,0.7347074468085106,0.1656645770010131,0.1207763424518743
olmo2_7b_instruct,hellaswag,777,0.7327602583586625,0.1070082953394122,0.1281439969604862
olmo2_7b_instruct,hellaswag,2025,0.7274411094224924,0.0800626899696048,0.1585707953394123
olmo2_7b_instruct,mmlu_all,42,0.7612570145903479,0.1307250280583614,0.1777673026561915
olmo2_7b_instruct,mmlu_all,7,0.774006734006734,0.1536430976430976,0.1806853722409278
olmo2_7b_instruct,mmlu_all,123,0.7221997755331089,0.070020202020202,0.1824526748971194
olmo2_7b_instruct,mmlu_all,777,0.7369696969696969,0.1499289188178077,0.1387444818555929
olmo2_7b_instruct,mmlu_all,2025,0.7314478114478115,0.1844279835390946,0.1104511784511784
qwen25_7b,arc_challenge,42,0.728395061728395,0.1730681298582532,0.013214449016918
qwen25_7b,arc_challenge,7,0.6556927297668038,0.1438500228623685,-0.0087791495198902
qwen25_7b,arc_challenge,123,0.7503429355281206,0.1112025605852765,0.048148148148148
qwen25_7b,arc_challenge,777,0.5733882030178326,0.1227709190672152,-0.0576588934613626
qwen25_7b,arc_challenge,2025,0.6447187928669411,0.2521262002743485,-0.0678097850937356
qwen25_7b,commonsenseqa,42,0.7573141853181575,0.1736027296106739,0.132681486008199
qwen25_7b,commonsenseqa,7,0.8058207929111603,0.1725663942148549,0.2013902681231379
qwen25_7b,commonsenseqa,123,0.8091054923229701,0.2136913401064346,0.1591806075420773
qwen25_7b,commonsenseqa,777,0.7631960889160492,0.119547780918188,0.2287551243857102
qwen25_7b,commonsenseqa,2025,0.8102513176991827,0.2627530364372469,0.1473684210526316
qwen25_7b,hellaswag,42,0.869095048377917,0.102111282760116,0.176052253570751
qwen25_7b,hellaswag,7,0.8881209854459712,0.125056237634496,0.1636474510122774
qwen25_7b,hellaswag,123,0.8411252947394097,0.1762473913868336,0.0824592785321299
qwen25_7b,hellaswag,777,0.8638913732823807,0.080686776702713,0.1950429574220127
qwen25_7b,hellaswag,2025,0.842670135783397,0.1289508632138114,0.118250806298615
qwen25_7b,mmlu_all,42,0.8261360718870346,0.2748429610611895,0.0816191698759092
qwen25_7b,mmlu_all,7,0.8386649550706035,0.2902712879760377,0.0451125374411639
qwen25_7b,mmlu_all,123,0.8411296534017972,0.3017749251176723,0.0815609756097561
qwen25_7b,mmlu_all,777,0.8202310654685495,0.3156011981172444,0.0449002995293111
qwen25_7b,mmlu_all,2025,0.8662387676508345,0.316290971330766,0.0625502781343603
gemma2_9b_it,arc_challenge,0,0.76592082616179,0.0757314974182443,0.0103270223752151
gemma2_9b_it,arc_challenge,1,0.9242685025817556,0.1686746987951807,0.0843373493975903
gemma2_9b_it,arc_challenge,2,0.8106712564543891,0.3511187607573151,0.0516351118760758
gemma2_9b_it,arc_challenge,3,0.7986230636833046,0.2547332185886403,-0.0946643717728054
gemma2_9b_it,arc_challenge,4,0.6901893287435455,0.2925989672977624,-0.1686746987951808
gemma2_9b_it,commonsenseqa,0,0.7724867724867726,0.1531042796865582,0.1322081575246132
gemma2_9b_it,commonsenseqa,1,0.789163485366017,0.135757819302123,0.087535998928404
gemma2_9b_it,commonsenseqa,2,0.8085861630165427,0.1324760565266893,0.1214921974415644
gemma2_9b_it,commonsenseqa,3,0.8069787690040854,0.1722590583350075,0.0688500435335877
gemma2_9b_it,commonsenseqa,4,0.7144196637867524,0.0549862701761434,0.1301319402585224
