model,dataset,seed,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
falcon3_7b_instruct,hellaswag,7,early,0.8515472709551657,0.6179946393762182,0.8506335282651072,-0.0009137426900585
falcon3_7b_instruct,hellaswag,7,middle,0.8515472709551657,0.5740131578947368,0.8076267056530214,-0.0439205653021442
falcon3_7b_instruct,hellaswag,7,late,0.8515472709551657,0.7972100389863548,0.8392422027290448,-0.0123050682261208
falcon3_7b_instruct,hellaswag,7,final,0.8515472709551657,0.8153021442495126,0.8410087719298246,-0.010538499025341
falcon3_7b_instruct,hellaswag,7,all,0.8515472709551657,0.8003776803118907,0.8557504873294347,0.004203216374269
falcon3_7b_instruct,hellaswag,123,early,0.7927022417153996,0.6456505847953216,0.7875243664717348,-0.0051778752436647
falcon3_7b_instruct,hellaswag,123,middle,0.7927022417153996,0.5665204678362573,0.7831384015594541,-0.0095638401559454
falcon3_7b_instruct,hellaswag,123,late,0.7927022417153996,0.7428118908382065,0.7803971734892787,-0.0123050682261208
falcon3_7b_instruct,hellaswag,123,final,0.7927022417153996,0.7613913255360624,0.792763157894737,6.091617933734472e-05
falcon3_7b_instruct,hellaswag,123,all,0.7927022417153996,0.7690667641325536,0.8068957115009746,0.014193469785575
falcon3_7b_instruct,hellaswag,777,early,0.7793006822612085,0.5936890838206628,0.7699805068226121,-0.0093201754385964
falcon3_7b_instruct,hellaswag,777,middle,0.7793006822612085,0.5988669590643275,0.7739400584795321,-0.0053606237816764
falcon3_7b_instruct,hellaswag,777,late,0.7793006822612085,0.7646807992202728,0.7868542884990253,0.0075536062378167
falcon3_7b_instruct,hellaswag,777,final,0.7793006822612085,0.7649853801169589,0.7885599415204678,0.0092592592592593
falcon3_7b_instruct,hellaswag,777,all,0.7793006822612085,0.7499390838206628,0.7825292397660818,0.0032285575048732
falcon3_7b_instruct,hellaswag,2025,early,0.8391203703703703,0.5508040935672514,0.7855141325536061,-0.0536062378167642
falcon3_7b_instruct,hellaswag,2025,middle,0.8391203703703703,0.5445297270955166,0.7850268031189084,-0.0540935672514619
falcon3_7b_instruct,hellaswag,2025,late,0.8391203703703703,0.7810672514619883,0.8441764132553606,0.0050560428849902
falcon3_7b_instruct,hellaswag,2025,final,0.8391203703703703,0.8083576998050682,0.8284600389863548,-0.0106603313840155
falcon3_7b_instruct,hellaswag,2025,all,0.8391203703703703,0.7551778752436646,0.8298001949317738,-0.0093201754385965
falcon3_7b_instruct,mmlu_all,42,early,0.828971875582045,0.6364313652449245,0.792791953808903,-0.036179921773142
falcon3_7b_instruct,mmlu_all,42,middle,0.828971875582045,0.7380331532873905,0.8225926615757124,-0.0063792140063325
falcon3_7b_instruct,mmlu_all,42,late,0.828971875582045,0.8278077854349042,0.8258521139877073,-0.0031197615943376
falcon3_7b_instruct,mmlu_all,42,final,0.828971875582045,0.8445241199478488,0.8404730862357982,0.0115012106537532
falcon3_7b_instruct,mmlu_all,42,all,0.828971875582045,0.8315328739057554,0.8288787483702739,-9.312721177112682e-05
falcon3_7b_instruct,mmlu_all,7,early,0.811650214192587,0.7011547774259639,0.8022909294095736,-0.0093592847830134
falcon3_7b_instruct,mmlu_all,7,middle,0.811650214192587,0.7546563605885639,0.8126746135220712,0.0010243993294841
falcon3_7b_instruct,mmlu_all,7,late,0.811650214192587,0.7904172099087353,0.8009405848388899,-0.0107096293536971
