model_key,dataset,seed,combined_auc,cheap_group_auc_drop,pca_hidden_group_auc_drop,importance_ratio_cheap_to_pca,n_total
mistral7b_v03,commonsenseqa,2025,0.7349378216123499,0.09763793596340763,0.2453741423670669,0.39791452767239205,1000
mistral7b_v03,hellaswag,42,0.7380330267558529,0.13384371516165,0.2018446906354516,0.6631024811186134,1000
mistral7b_v03,hellaswag,7,0.7049017558528428,0.08883082497212925,0.14916213768115938,0.5955319919148216,1000
mistral7b_v03,hellaswag,123,0.7150919732441471,0.053992474916387895,0.1771303651059085,0.3048177249778732,1000
mistral7b_v03,hellaswag,777,0.7637959866220736,0.07386949554069121,0.2492927814938684,0.29631622342908387,1000
mistral7b_v03,hellaswag,2025,0.7952550167224081,0.1286928651059086,0.2590823578595318,0.4967256982244466,1000
mistral7b_v03,mmlu_all,42,0.7845699247426012,0.16084152854086833,0.18796189420872,0.8557134903173943,1000
mistral7b_v03,mmlu_all,7,0.7156840112655247,0.14794619634639955,0.09137540976037674,1.6191029592398565,1000
mistral7b_v03,mmlu_all,123,0.6961540237314743,0.15878079935977354,0.055302645551502924,2.8711248399324965,1000
mistral7b_v03,mmlu_all,777,0.7274574080059097,0.19349154316142628,0.05871462209704969,3.295457523993047,1000
mistral7b_v03,mmlu_all,2025,0.7492959047047416,0.2192160302876402,0.06709604937131597,3.2671972841681103,1000
olmo2_7b_instruct,arc_challenge,42,0.8434343434343433,0.23034511784511777,0.09555976430976418,2.410482272601952,299
olmo2_7b_instruct,arc_challenge,7,0.6641414141414141,0.10709175084175088,0.029292929292929298,3.6558908044728975,299
olmo2_7b_instruct,arc_challenge,123,0.69760101010101,0.12710437710437705,0.049410774410774363,2.572402044240955,299
olmo2_7b_instruct,arc_challenge,777,0.8219696969696969,0.1424663299663299,0.14023569023569019,1.0159063625377736,299
olmo2_7b_instruct,arc_challenge,2025,0.7626262626262627,0.15448232323232325,0.06965488215488218,2.2178247733820564,299
olmo2_7b_instruct,commonsenseqa,42,0.7784542533400981,0.1729033955315031,0.13644887911757522,1.2671661112089356,1000
olmo2_7b_instruct,commonsenseqa,7,0.7084390326399458,0.09419358475675056,0.13490989721329644,0.6981962532158007,1000
olmo2_7b_instruct,commonsenseqa,123,0.780483680027059,0.1760414905011557,0.13831294511152453,1.2727766758052697,1000
olmo2_7b_instruct,commonsenseqa,777,0.7732679406956424,0.18032583572918431,0.08792115301501406,2.050994891938457,1000
olmo2_7b_instruct,commonsenseqa,2025,0.7638536557866847,0.12656106131499337,0.10987090591352393,1.1519069608241317,1000
olmo2_7b_instruct,hellaswag,42,0.7652450607902735,0.11900645896656534,0.17564747973657546,0.6775301253645419,1000
