model_key,model_family,dataset,seed,feature_set,probe,n_total,n_test,auroc,bootstrap_mean,ci_low,ci_high,base_accuracy,pca_dim,pca_explained_variance
mistral7b_v03,Mistral,mmlu_all,777,cheap_confidence_option,hgb,1000,300,0.6724225495175216,0.6718231110440157,0.6093632498256987,0.7334161527355624,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,hidden_summary_only,logreg,1000,300,0.732259107068655,0.7331289639746136,0.6827940007669674,0.7953489195915672,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,hidden_summary_only,mlp,1000,300,0.702386998476384,0.703391297483308,0.6500735318144067,0.7672202113574995,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,hidden_summary_only,extratrees,1000,300,0.7423242070271018,0.7438652860771862,0.6941358723822777,0.8003158464273805,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,hidden_summary_only,hgb,1000,300,0.7163303938316634,0.71796570699682,0.6551198138911314,0.775822778200995,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_hidden_summary,logreg,1000,300,0.7475876079228034,0.7485997187335895,0.6992653302740668,0.8071391473214286,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_hidden_summary,mlp,1000,300,0.7566369638487465,0.7581603838205975,0.703801146936092,0.8138593239068437,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_hidden_summary,extratrees,1000,300,0.7518352647860013,0.7522451465785073,0.699141176705334,0.8082093174660853,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_hidden_summary,hgb,1000,300,0.7465256937070041,0.7473854378637179,0.6951683917914798,0.8037859244663382,0.596,,
mistral7b_v03,Mistral,mmlu_all,777,pca_hidden_embeddings,logreg,1000,300,0.7443556950921094,0.7450300631105242,0.6933463617104341,0.8001308632001566,0.596,64.0,0.7983493804931641
mistral7b_v03,Mistral,mmlu_all,777,pca_hidden_embeddings,mlp,1000,300,0.7464795235237083,0.7472197738474888,0.6951282619266237,0.8028970535599566,0.596,64.0,0.7983493804931641
mistral7b_v03,Mistral,mmlu_all,777,pca_hidden_embeddings,extratrees,1000,300,0.7732582298351725,0.7739331287367108,0.7232890742216804,0.82333387166236,0.596,64.0,0.7983493804931641
mistral7b_v03,Mistral,mmlu_all,777,pca_hidden_embeddings,hgb,1000,300,0.7326746387183157,0.7325350759385336,0.6725598442315637,0.7860389680322803,0.596,64.0,0.7983493804931641
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_pca_hidden,logreg,1000,300,0.7274574080059097,0.7277431309233642,0.6762600977139317,0.787085071602361,0.596,64.0,0.7983493804931641
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_pca_hidden,mlp,1000,300,0.7393693152961818,0.7397273411481632,0.6897849099215134,0.7985383883661249,0.596,64.0,0.7983493804931641
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_pca_hidden,extratrees,1000,300,0.7594071748464841,0.7596767679790398,0.7082283977024885,0.8155397817460317,0.596,64.0,0.7983493804931641
