model_key,dataset,seed,pca_dim,cheap_auc,cheap_plus_pca_auc,gain,pca_explained_variance,n_total
falcon3_7b_instruct,arc_challenge,2025,16,0.8488888888888889,0.8311111111111111,-0.01777777777777778,0.49219170212745667,299
falcon3_7b_instruct,arc_challenge,2025,32,0.8488888888888889,0.8586666666666667,0.009777777777777774,0.6238348484039307,299
falcon3_7b_instruct,arc_challenge,2025,64,0.8488888888888889,0.9013333333333333,0.052444444444444405,0.762706995010376,299
falcon3_7b_instruct,arc_challenge,2025,128,0.8488888888888889,0.8648888888888888,0.015999999999999903,0.9074575901031494,299
falcon3_7b_instruct,arc_challenge,2025,256,0.8488888888888889,0.8817777777777778,0.032888888888888856,0.9999999403953552,299
falcon3_7b_instruct,commonsenseqa,42,8,0.8425925925925927,0.8573556073556073,0.01476301476301467,0.2992350161075592,1000
falcon3_7b_instruct,commonsenseqa,42,16,0.8425925925925927,0.8512691012691014,0.00867650867650871,0.4180706739425659,1000
falcon3_7b_instruct,commonsenseqa,42,32,0.8425925925925927,0.8495855995855998,0.006993006993007089,0.5307608842849731,1000
falcon3_7b_instruct,commonsenseqa,42,64,0.8425925925925927,0.8297073297073297,-0.012885262885262927,0.6414141654968262,1000
falcon3_7b_instruct,commonsenseqa,42,128,0.8425925925925927,0.7955840455840455,-0.047008547008547175,0.751374363899231,1000
falcon3_7b_instruct,commonsenseqa,42,256,0.8425925925925927,0.722869722869723,-0.11972286972286972,0.8634876012802124,1000
falcon3_7b_instruct,commonsenseqa,7,8,0.8172105672105672,0.8339160839160839,0.016705516705516676,0.3017697036266327,1000
falcon3_7b_instruct,commonsenseqa,7,16,0.8172105672105672,0.8216783216783217,0.004467754467754492,0.4197555482387543,1000
falcon3_7b_instruct,commonsenseqa,7,32,0.8172105672105672,0.8144263144263144,-0.002784252784252761,0.5315067768096924,1000
falcon3_7b_instruct,commonsenseqa,7,64,0.8172105672105672,0.8029655529655529,-0.014245014245014231,0.6423068046569824,1000
falcon3_7b_instruct,commonsenseqa,7,128,0.8172105672105672,0.774928774928775,-0.042281792281792185,0.7520759701728821,1000
falcon3_7b_instruct,commonsenseqa,7,256,0.8172105672105672,0.7336829836829836,-0.0835275835275836,0.8636903166770935,1000
falcon3_7b_instruct,commonsenseqa,123,8,0.7661227661227662,0.7711085211085211,0.004985754985754931,0.30031251907348633,1000
falcon3_7b_instruct,commonsenseqa,123,16,0.7661227661227662,0.7690365190365189,0.002913752913752732,0.4185955226421356,1000
falcon3_7b_instruct,commonsenseqa,123,32,0.7661227661227662,0.7861305361305362,0.020007770007769987,0.530722975730896,1000
falcon3_7b_instruct,commonsenseqa,123,64,0.7661227661227662,0.7850945350945351,0.018971768971768888,0.6411161422729492,1000
falcon3_7b_instruct,commonsenseqa,123,128,0.7661227661227662,0.7701372701372702,0.004014504014503983,0.7516255378723145,1000
falcon3_7b_instruct,commonsenseqa,123,256,0.7661227661227662,0.7031209531209531,-0.06300181300181307,0.8634923100471497,1000
falcon3_7b_instruct,commonsenseqa,777,8,0.8517871017871017,0.8452473452473452,-0.006539756539756469,0.30055171251296997,1000
falcon3_7b_instruct,commonsenseqa,777,16,0.8517871017871017,0.8379953379953381,-0.013791763791763612,0.41848450899124146,1000
falcon3_7b_instruct,commonsenseqa,777,32,0.8517871017871017,0.8556073556073556,0.0038202538202538605,0.5307489633560181,1000
falcon3_7b_instruct,commonsenseqa,777,64,0.8517871017871017,0.8295130795130795,-0.022274022274022198,0.6412548422813416,1000
falcon3_7b_instruct,commonsenseqa,777,128,0.8517871017871017,0.7906630406630407,-0.06112406112406099,0.7510492205619812,1000
falcon3_7b_instruct,commonsenseqa,777,256,0.8517871017871017,0.7266899766899766,-0.12509712509712512,0.8630257248878479,1000
falcon3_7b_instruct,commonsenseqa,2025,8,0.8431105931105932,0.8521756021756022,0.009065009065008955,0.30079662799835205,1000
falcon3_7b_instruct,commonsenseqa,2025,16,0.8431105931105932,0.8367650867650867,-0.0063455063455065686,0.419358491897583,1000
falcon3_7b_instruct,commonsenseqa,2025,32,0.8431105931105932,0.8253690753690754,-0.017741517741517776,0.5311024188995361,1000
falcon3_7b_instruct,commonsenseqa,2025,64,0.8431105931105932,0.8138435638435638,-0.0292670292670294,0.641816258430481,1000
falcon3_7b_instruct,commonsenseqa,2025,128,0.8431105931105932,0.7937710437710439,-0.049339549339549316,0.75107741355896,1000
falcon3_7b_instruct,commonsenseqa,2025,256,0.8431105931105932,0.7511655011655012,-0.09194509194509204,0.8631231188774109,1000
falcon3_7b_instruct,hellaswag,42,8,0.7894736842105263,0.8020833333333333,0.012609649122806932,0.4944003224372864,1000
falcon3_7b_instruct,hellaswag,42,16,0.7894736842105263,0.8015960038986354,0.012122319688109062,0.5816601514816284,1000
falcon3_7b_instruct,hellaswag,42,32,0.7894736842105263,0.8048245614035088,0.015350877192982448,0.6647524833679199,1000
falcon3_7b_instruct,hellaswag,42,64,0.7894736842105263,0.8023269980506823,0.012853313840155978,0.7510683536529541,1000
falcon3_7b_instruct,hellaswag,42,128,0.7894736842105263,0.764437134502924,-0.025036549707602274,0.8356499671936035,1000
falcon3_7b_instruct,hellaswag,42,256,0.7894736842105263,0.6875,-0.10197368421052633,0.9145334959030151,1000
falcon3_7b_instruct,hellaswag,7,8,0.8515472709551657,0.8567860623781676,0.005238791423001876,0.4964945912361145,1000
falcon3_7b_instruct,hellaswag,7,16,0.8515472709551657,0.855567738791423,0.004020467836257313,0.5842044353485107,1000
falcon3_7b_instruct,hellaswag,7,32,0.8515472709551657,0.868969298245614,0.017422027290448283,0.6660474538803101,1000
falcon3_7b_instruct,hellaswag,7,64,0.8515472709551657,0.8557504873294347,0.004203216374269014,0.7517713308334351,1000
falcon3_7b_instruct,hellaswag,7,128,0.8515472709551657,0.8266325536062379,-0.024914717348927806,0.8357198238372803,1000
falcon3_7b_instruct,hellaswag,7,256,0.8515472709551657,0.7928849902534113,-0.05866228070175439,0.9144688844680786,1000
falcon3_7b_instruct,hellaswag,123,8,0.7927022417153996,0.8053118908382066,0.012609649122807043,0.4945761263370514,1000
falcon3_7b_instruct,hellaswag,123,16,0.7927022417153996,0.8093932748538012,0.01669103313840159,0.5808476805686951,1000
falcon3_7b_instruct,hellaswag,123,32,0.7927022417153996,0.8146929824561403,0.0219907407407407,0.6645982265472412,1000
falcon3_7b_instruct,hellaswag,123,64,0.7927022417153996,0.8068957115009746,0.014193469785575008,0.7513828873634338,1000
falcon3_7b_instruct,hellaswag,123,128,0.7927022417153996,0.776803118908382,-0.01589912280701755,0.8357816338539124,1000
falcon3_7b_instruct,hellaswag,123,256,0.7927022417153996,0.7629142300194931,-0.029788011695906502,0.9144434332847595,1000
falcon3_7b_instruct,hellaswag,777,8,0.7793006822612085,0.7987938596491229,0.01949317738791434,0.49454760551452637,1000
falcon3_7b_instruct,hellaswag,777,16,0.7793006822612085,0.8024488304093566,0.02314814814814803,0.5825042724609375,1000
falcon3_7b_instruct,hellaswag,777,32,0.7793006822612085,0.7926413255360624,0.013340643274853847,0.6656996011734009,1000
falcon3_7b_instruct,hellaswag,777,64,0.7793006822612085,0.7825292397660818,0.003228557504873275,0.7517558336257935,1000
falcon3_7b_instruct,hellaswag,777,128,0.7793006822612085,0.778874269005848,-0.0004264132553605249,0.8361696004867554,1000
falcon3_7b_instruct,hellaswag,777,256,0.7793006822612085,0.7775950292397661,-0.0017056530214424326,0.9146974086761475,1000
falcon3_7b_instruct,hellaswag,2025,8,0.8391203703703703,0.8556895711500975,0.016569200779727122,0.49792298674583435,1000
falcon3_7b_instruct,hellaswag,2025,16,0.8391203703703703,0.8518518518518519,0.01273148148148151,0.5843744874000549,1000
falcon3_7b_instruct,hellaswag,2025,32,0.8391203703703703,0.8439936647173489,0.004873294346978585,0.6670558452606201,1000
falcon3_7b_instruct,hellaswag,2025,64,0.8391203703703703,0.8298001949317738,-0.009320175438596534,0.7530062198638916,1000
falcon3_7b_instruct,hellaswag,2025,128,0.8391203703703703,0.7687621832358674,-0.07035818713450293,0.836668074131012,1000
falcon3_7b_instruct,hellaswag,2025,256,0.8391203703703703,0.7865497076023391,-0.05257066276803124,0.9150434136390686,1000
falcon3_7b_instruct,mmlu_all,42,8,0.828971875582045,0.8409852859005401,0.012013410318495121,0.35050711035728455,1000
falcon3_7b_instruct,mmlu_all,42,16,0.828971875582045,0.8387036692121438,0.009731793630098795,0.4816166162490845,1000
falcon3_7b_instruct,mmlu_all,42,32,0.828971875582045,0.8365617433414044,0.007589867759359437,0.6449710130691528,1000
falcon3_7b_instruct,mmlu_all,42,64,0.828971875582045,0.8288787483702739,-9.312721177112682e-05,0.7590255737304688,1000
falcon3_7b_instruct,mmlu_all,42,128,0.828971875582045,0.8067144719687092,-0.022257403613335836,0.8391492366790771,1000
falcon3_7b_instruct,mmlu_all,42,256,0.828971875582045,0.7910225367852487,-0.037949338796796295,0.9150135517120361,1000
falcon3_7b_instruct,mmlu_all,7,8,0.811650214192587,0.829623766064444,0.017973551871857008,0.3513508141040802,1000
falcon3_7b_instruct,mmlu_all,7,16,0.811650214192587,0.8321382007822685,0.02048798658968154,0.4948194622993469,1000
