model_key,dataset,signal,seed,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_hidden_summary__mlp,594.8,0.7921490326565506,0.3489885949427488,0.44316043771380176,0.7933333333333333,0.2066666666666667,0.7866666666666667,0.21333333333333332,0.78,0.22000000000000003,0.18283261802575107,0.392274678111588,0.5982832618025752
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden__extratrees,594.8,0.6803131139166574,0.23715267620285557,0.44316043771380176,0.76,0.24,0.7466666666666667,0.2533333333333333,0.7,0.3,0.21716738197424892,0.423175965665236,0.6394849785407726
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden__hgb,594.8,0.7148588679138091,0.27169843020000733,0.44316043771380176,0.77,0.22999999999999998,0.7433333333333334,0.25666666666666665,0.7133333333333333,0.2866666666666667,0.20686695278969958,0.4257510729613734,0.632618025751073
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden__logreg,594.8,0.6991547403720849,0.2559943026582831,0.44316043771380176,0.7625,0.2375,0.7422222222222222,0.2577777777777778,0.71,0.29,0.21459227467811157,0.4266094420600858,0.6343347639484979
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden__mlp,594.8,0.774722708718911,0.33156227100510927,0.44316043771380176,0.7866666666666666,0.21333333333333337,0.7766666666666666,0.22333333333333333,0.7849999999999999,0.215,0.18969957081545066,0.4,0.5957081545064378
deepseek_r1_qwen7b,commonsenseqa,direct_pmax,594.8,0.6916176604966611,0.2484572227828592,0.44316043771380176,0.765,0.23499999999999996,0.7533333333333333,0.24666666666666667,0.7166666666666666,0.2833333333333333,0.21201716738197424,0.41802575107296136,0.630901287553648
deepseek_r1_qwen7b,commonsenseqa,hidden_summary_only__extratrees,594.8,0.7980274291433839,0.354866991429582,0.44316043771380176,0.7875,0.2125,0.8022222222222222,0.19777777777777777,0.8016666666666667,0.1983333333333333,0.18884120171673818,0.3802575107296137,0.5871244635193132
deepseek_r1_qwen7b,commonsenseqa,hidden_summary_only__hgb,594.8,0.7965463842226865,0.3533859465088848,0.44316043771380176,0.79,0.20999999999999996,0.8044444444444444,0.19555555555555554,0.7983333333333333,0.20166666666666666,0.18626609442060085,0.3785407725321889,0.5888412017167381
deepseek_r1_qwen7b,commonsenseqa,hidden_summary_only__logreg,594.8,0.7856540107973325,0.3424935730835307,0.44316043771380176,0.7783333333333333,0.22166666666666668,0.78,0.22000000000000003,0.7883333333333333,0.21166666666666673,0.1982832618025751,0.39742489270386266,0.5939914163090129
deepseek_r1_qwen7b,commonsenseqa,hidden_summary_only__mlp,594.8,0.7768369870361795,0.3336765493223778,0.44316043771380176,0.7775000000000001,0.2225,0.7766666666666666,0.22333333333333333,0.7783333333333333,0.22166666666666668,0.19914163090128756,0.4,0.5991416309012875
