model,dataset,seed,cheap_auroc,pca_hidden_only_auc,combined_auroc,gain_combined_over_cheap
falcon3_7b_instruct,mmlu_all,2025,0.8183553734401192,0.796796423915068,0.7944216800149003,-0.023933693425218894
mistral7b_v03,arc_challenge,42,0.66,0.5492857142857143,0.515,-0.14500000000000002
mistral7b_v03,arc_challenge,7,0.7264285714285714,0.7228571428571429,0.7064285714285715,-0.019999999999999907
mistral7b_v03,arc_challenge,123,0.615,0.5585714285714285,0.5778571428571428,-0.037142857142857144
mistral7b_v03,arc_challenge,777,0.7378571428571428,0.6592857142857143,0.6735714285714286,-0.06428571428571417
mistral7b_v03,arc_challenge,2025,0.6364285714285715,0.665,0.6421428571428571,0.005714285714285672
mistral7b_v03,commonsenseqa,42,0.7032054030874786,0.7167667238421955,0.6960227272727272,-0.007182675814751405
mistral7b_v03,commonsenseqa,7,0.7587907375643226,0.7375643224699829,0.7529481132075471,-0.0058426243567755165
mistral7b_v03,commonsenseqa,123,0.7520904802744425,0.7407804459691252,0.7405124356775301,-0.011578044596912362
mistral7b_v03,commonsenseqa,777,0.763507718696398,0.707868782161235,0.7346162092624358,-0.028891509433962237
mistral7b_v03,commonsenseqa,2025,0.7505360205831904,0.7237349914236707,0.7349378216123499,-0.015598198970840471
mistral7b_v03,hellaswag,42,0.7088210702341138,0.7302466555183947,0.7380330267558529,0.029211956521739135
mistral7b_v03,hellaswag,7,0.711068143812709,0.6981082775919732,0.7049017558528428,-0.0061663879598662374
mistral7b_v03,hellaswag,123,0.7003553511705686,0.6928302675585285,0.7150919732441471,0.01473662207357851
mistral7b_v03,hellaswag,777,0.726693143812709,0.7676630434782609,0.7637959866220736,0.0371028428093646
mistral7b_v03,hellaswag,2025,0.7684991638795987,0.7720526755852842,0.7952550167224081,0.026755852842809347
mistral7b_v03,mmlu_all,42,0.7799067362297427,0.7873401357403389,0.7845699247426012,0.004663188512858518
mistral7b_v03,mmlu_all,7,0.7284269818551179,0.7102359296366406,0.7156840112655247,-0.012742970589593172
mistral7b_v03,mmlu_all,123,0.7280114502054572,0.697908490696708,0.6961540237314743,-0.03185742647398293
mistral7b_v03,mmlu_all,777,0.7414008033611893,0.7443556950921094,0.7274574080059097,-0.013943395355279553
mistral7b_v03,mmlu_all,2025,0.7723348261692599,0.7522507964356618,0.7492959047047416,-0.023038921464518247
olmo2_7b_instruct,arc_challenge,42,0.8377525252525253,0.8345959595959597,0.8434343434343433,0.00568181818181801
olmo2_7b_instruct,arc_challenge,7,0.7108585858585859,0.6767676767676768,0.6641414141414141,-0.04671717171717171
olmo2_7b_instruct,arc_challenge,123,0.7525252525252525,0.6571969696969697,0.69760101010101,-0.05492424242424243
olmo2_7b_instruct,arc_challenge,777,0.7935606060606061,0.8118686868686869,0.8219696969696969,0.02840909090909083
olmo2_7b_instruct,arc_challenge,2025,0.8440656565656566,0.7720959595959596,0.7626262626262627,-0.08143939393939392
olmo2_7b_instruct,commonsenseqa,42,0.7601894131574498,0.7692090873217204,0.7784542533400981,0.01826484018264829
olmo2_7b_instruct,commonsenseqa,7,0.7627825694796775,0.7171768419865833,0.7084390326399458,-0.0543435368397317
olmo2_7b_instruct,commonsenseqa,123,0.7910254242065505,0.7561305597835278,0.780483680027059,-0.010541744179491497
olmo2_7b_instruct,commonsenseqa,777,0.7781723885224646,0.7630080613337844,0.7732679406956424,-0.0049044478268222
olmo2_7b_instruct,commonsenseqa,2025,0.7685326117594004,0.7362309036586053,0.7638536557866847,-0.004678955972715615
olmo2_7b_instruct,hellaswag,42,0.7483852583586627,0.7320478723404256,0.7652450607902735,0.016859802431610893
olmo2_7b_instruct,hellaswag,7,0.6905870060790275,0.6900645896656534,0.709488981762918,0.018901975683890515
olmo2_7b_instruct,hellaswag,123,0.6894946808510638,0.7371770516717326,0.7347074468085106,0.04521276595744683
olmo2_7b_instruct,hellaswag,777,0.7209821428571428,0.724354103343465,0.7327602583586625,0.011778115501519748
olmo2_7b_instruct,hellaswag,2025,0.6916318389057751,0.695573708206687,0.7274411094224924,0.03580927051671734
olmo2_7b_instruct,mmlu_all,42,0.7651178451178452,0.7517845117845118,0.7612570145903479,-0.0038608305274973054
olmo2_7b_instruct,mmlu_all,7,0.7732884399551067,0.7727946127946128,0.774006734006734,0.0007182940516273773
olmo2_7b_instruct,mmlu_all,123,0.7134455667789001,0.7180695847362515,0.7221997755331089,0.008754208754208737
olmo2_7b_instruct,mmlu_all,777,0.7631874298540966,0.7377328843995511,0.7369696969696969,-0.026217732884399658
olmo2_7b_instruct,mmlu_all,2025,0.7464870931537598,0.7232772166105499,0.7314478114478115,-0.01503928170594837
qwen25_7b,arc_challenge,42,0.8834019204389576,0.6831275720164608,0.728395061728395,-0.15500685871056263
qwen25_7b,arc_challenge,7,0.7750342935528121,0.6049382716049383,0.6556927297668038,-0.11934156378600824
qwen25_7b,arc_challenge,123,0.914951989026063,0.7187928669410151,0.7503429355281206,-0.16460905349794241
qwen25_7b,arc_challenge,777,0.7654320987654321,0.5857338820301783,0.5733882030178326,-0.1920438957475995
qwen25_7b,arc_challenge,2025,0.8134430727023321,0.6378600823045267,0.6447187928669411,-0.16872427983539096
qwen25_7b,commonsenseqa,42,0.8339317088075777,0.7316476968909938,0.7573141853181575,-0.07661752348942019
qwen25_7b,commonsenseqa,7,0.841341379573753,0.7648766328011611,0.8058207929111603,-0.035520586662592724
qwen25_7b,commonsenseqa,123,0.8362233595600032,0.788480635551142,0.8091054923229701,-0.027117867237033022
qwen25_7b,commonsenseqa,777,0.8025360934993507,0.7269880070277289,0.7631960889160492,-0.03934000458330156
qwen25_7b,commonsenseqa,2025,0.847376059888473,0.7795431976166832,0.8102513176991827,-0.037124742189290294
qwen25_7b,hellaswag,42,0.876981868444589,0.8664932108301489,0.869095048377917,-0.007886820066672073
qwen25_7b,hellaswag,7,0.8750304902837629,0.8823481583868608,0.8881209854459712,0.013090495162208282
qwen25_7b,hellaswag,123,0.8638913732823806,0.8333197820961055,0.8411252947394097,-0.02276607854297097
qwen25_7b,hellaswag,777,0.8886901374095455,0.8593381575737865,0.8638913732823807,-0.024798764127164752
qwen25_7b,hellaswag,2025,0.8526709488576307,0.8406374501992032,0.842670135783397,-0.010000813074233728
qwen25_7b,mmlu_all,42,0.8308600770218229,0.7991784338896021,0.8261360718870346,-0.004724005134788212
qwen25_7b,mmlu_all,7,0.8677278562259307,0.8222336328626445,0.8386649550706035,-0.02906290115532728
qwen25_7b,mmlu_all,123,0.8581258023106547,0.8183311938382541,0.8411296534017972,-0.016996148908857478
qwen25_7b,mmlu_all,777,0.8462130937098845,0.818382541720154,0.8202310654685495,-0.025982028241334998
qwen25_7b,mmlu_all,2025,0.8682926829268293,0.8516559691912708,0.8662387676508345,-0.0020539152759947443
gemma2_9b_it,arc_challenge,0,0.8674698795180723,0.846815834767642,0.8433734939759037,-0.02409638554216864
gemma2_9b_it,arc_challenge,1,0.9259896729776248,0.929432013769363,0.9432013769363168,0.017211703958691982
gemma2_9b_it,arc_challenge,2,0.8450946643717728,0.783132530120482,0.864027538726334,0.018932874354561147
gemma2_9b_it,arc_challenge,3,0.9672977624784852,0.8347676419965576,0.9483648881239244,-0.018932874354560814
gemma2_9b_it,arc_challenge,4,0.919104991394148,0.7125645438898451,0.8416523235800344,-0.07745266781411364
gemma2_9b_it,commonsenseqa,0,0.8314245529435403,0.7703435804701627,0.8237894313843681,-0.007635121559172231
gemma2_9b_it,commonsenseqa,1,0.7925122228919698,0.7744960150023441,0.8056392739937044,0.013127051101734621
gemma2_9b_it,commonsenseqa,2,0.8455562253030607,0.833500770209631,0.860692518920367,0.015136293617306285
gemma2_9b_it,commonsenseqa,3,0.8160873350746769,0.8214453151162012,0.8168240573303864,0.0007367222557095321
gemma2_9b_it,commonsenseqa,4,0.779251222289197,0.7280825128926394,0.7593597213850378,-0.019891500904159143
gemma2_9b_it,hellaswag,0,0.7841232841232842,0.7582880082880082,0.7858067858067859,0.0016835016835016203
gemma2_9b_it,hellaswag,1,0.7683242683242684,0.7472804972804973,0.7562160062160062,-0.012108262108262213
gemma2_9b_it,hellaswag,2,0.787037037037037,0.7915695415695415,0.7972675472675472,0.010230510230510248
gemma2_9b_it,hellaswag,3,0.8054908054908055,0.7874255374255374,0.8078218078218078,0.002331002331002252
gemma2_9b_it,hellaswag,4,0.7764180264180264,0.7737632737632738,0.7753820253820254,-0.0010360010360009886
gemma2_9b_it,mmlu,0,0.8788319534571493,0.8594204520026851,0.9025509062430074,0.023718952785858116
gemma2_9b_it,mmlu,1,0.8786081897516222,0.8868315059297383,0.909543522040725,0.030935332289102724
gemma2_9b_it,mmlu,2,0.8594204520026851,0.8421906466771091,0.872230924144104,0.012810472141418838
gemma2_9b_it,mmlu,3,0.8353658536585366,0.8614902662788096,0.8701611098679795,0.034795256209442904
gemma2_9b_it,mmlu,4,0.8766502573282614,0.8774893712239875,0.8819087044081451,0.005258447079883655
llama31_8b_instruct,arc_challenge,0,0.8966049382716049,0.8333333333333333,0.8796296296296297,-0.016975308641975273
llama31_8b_instruct,arc_challenge,1,0.9020061728395062,0.8410493827160493,0.882716049382716,-0.019290123456790265
llama31_8b_instruct,arc_challenge,2,0.8132716049382716,0.7638888888888888,0.8125,-0.0007716049382715529
llama31_8b_instruct,arc_challenge,3,0.8256172839506173,0.79320987654321,0.8125,-0.013117283950617287
llama31_8b_instruct,arc_challenge,4,0.8912037037037037,0.8927469135802469,0.9112654320987654,0.020061728395061706
llama31_8b_instruct,commonsenseqa,0,0.7557172557172558,0.743993993993994,0.7521367521367521,-0.003580503580503658
llama31_8b_instruct,commonsenseqa,1,0.8138715638715639,0.7705012705012705,0.8146800646800647,0.0008085008085008116
llama31_8b_instruct,commonsenseqa,2,0.8003580503580503,0.7827442827442828,0.8199353199353199,0.019577269577269574
llama31_8b_instruct,commonsenseqa,3,0.8258258258258259,0.7887502887502887,0.8378955878955879,0.012069762069762069
llama31_8b_instruct,commonsenseqa,4,0.7567567567567568,0.7762185262185263,0.770963270963271,0.014206514206514198
llama31_8b_instruct,hellaswag,0,0.7880379874722166,0.6999898969488786,0.7783895736512426,-0.009648413820974033
llama31_8b_instruct,hellaswag,1,0.7750555667811679,0.726762982420691,0.7949080622347949,0.019852495453626995
llama31_8b_instruct,hellaswag,2,0.7760153566377046,0.7151444736310366,0.7786421499292787,0.0026267932915741143
llama31_8b_instruct,hellaswag,3,0.7766215397049908,0.7237825823398666,0.7826328551222469,0.00601131541725608
llama31_8b_instruct,hellaswag,4,0.728328955344514,0.6889775712265105,0.7365124267528794,0.008183471408365395
llama31_8b_instruct,mmlu,0,0.8289449025487255,0.7930565967016491,0.8278907421289354,-0.0010541604197901178
llama31_8b_instruct,mmlu,1,0.7930097451274363,0.7973200899550226,0.8008339580209894,0.007824212893553173
llama31_8b_instruct,mmlu,2,0.8422507496251875,0.8273519490254873,0.8513868065967016,0.009136056971514095
llama31_8b_instruct,mmlu,3,0.8295539730134933,0.8120314842578711,0.8392053973013494,0.009651424287856036
llama31_8b_instruct,mmlu,4,0.800599700149925,0.7717391304347826,0.8006465517241379,4.685157421291386e-05
