model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
deepseek_r1_qwen7b,hellaswag,pca_hidden_embeddings,mlp,5,0.5185603634034127,0.028182769633081695,0.4456880821810493,0.5912509080727929
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option,extratrees,5,0.6107063838972533,0.03264458332284909,0.5394598672704121,0.6774162369449842
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option,hgb,5,0.58228913712158,0.02333268983324414,0.5114193390589226,0.6518100383643064
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option,logreg,5,0.57103232421348,0.04287228421805102,0.5014781910221094,0.639779165394558
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option,mlp,5,0.5830662133721871,0.041941950581489154,0.5111596721887877,0.6509973257068618
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary,extratrees,5,0.5997733527602396,0.027506093076095257,0.5296116296371596,0.6661775632288507
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary,hgb,5,0.5879553181155901,0.06426550020910339,0.5205037060274301,0.6565198707058961
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary,logreg,5,0.5414170848847877,0.0516858185685248,0.4674899943693214,0.6113595178022372
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary,mlp,5,0.5447196589498677,0.05509932764059188,0.4707684622598921,0.6139728233795451
deepseek_r1_qwen7b,mmlu_all,cheap_plus_pca_hidden,extratrees,5,0.5856348820894717,0.04132521141945195,0.5129833653443006,0.656253054881183
deepseek_r1_qwen7b,mmlu_all,cheap_plus_pca_hidden,hgb,5,0.5849657330958933,0.053283023859222074,0.5149549619974175,0.6550868292551677
deepseek_r1_qwen7b,mmlu_all,cheap_plus_pca_hidden,logreg,5,0.5206950515352652,0.04516633206911091,0.4450986667283212,0.598764727000758
deepseek_r1_qwen7b,mmlu_all,cheap_plus_pca_hidden,mlp,5,0.5229615239328693,0.037562232456688445,0.44685010105055306,0.5928631174608113
deepseek_r1_qwen7b,mmlu_all,direct_pmax,none,5,0.6305865846419513,0.04616027144625947,0.5599965769242755,0.6954185133072889
deepseek_r1_qwen7b,mmlu_all,hidden_summary_only,extratrees,5,0.5276239814365118,0.0474246754601466,0.45676536275521684,0.5976910474934444
deepseek_r1_qwen7b,mmlu_all,hidden_summary_only,hgb,5,0.5194538880794345,0.058123024094521136,0.45156932726401067,0.5918560091491245
deepseek_r1_qwen7b,mmlu_all,hidden_summary_only,logreg,5,0.4951918406993686,0.03617251294654914,0.422607845730586,0.5693445892946825
deepseek_r1_qwen7b,mmlu_all,hidden_summary_only,mlp,5,0.4923425611138093,0.037217646956570025,0.4188225933572342,0.5628299621298252
deepseek_r1_qwen7b,mmlu_all,pca_hidden_embeddings,extratrees,5,0.50326479952512,0.04279535196725904,0.43423646113721626,0.576833361128177
deepseek_r1_qwen7b,mmlu_all,pca_hidden_embeddings,hgb,5,0.5253251308617991,0.06003152802298406,0.45661768704274286,0.5980169952167822
