model_key,model_family,dataset,seed,signal,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_pca_hidden__mlp,0.619460085950411,0.3028666120902141,0.31659347386019693,0.6805555555555556,0.3194444444444444,0.6296296296296297,0.37037037037037035,0.6111111111111112,0.38888888888888884,0.19672131147540983,0.4426229508196721,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_pca_hidden__extratrees,0.5726930868515033,0.2560996129913064,0.31659347386019693,0.625,0.375,0.5925925925925926,0.40740740740740744,0.5833333333333334,0.41666666666666663,0.26229508196721313,0.47540983606557374,0.6557377049180327
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_pca_hidden__hgb,0.6899925242383659,0.37339905037816895,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6851851851851852,0.31481481481481477,0.6944444444444444,0.3055555555555556,0.22950819672131148,0.39344262295081966,0.5901639344262295
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,direct_pmax,0.5834543923110546,0.26686091845085763,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.5925925925925926,0.40740740740740744,0.5277777777777778,0.4722222222222222,0.22950819672131148,0.47540983606557374,0.6885245901639344
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_confidence_option__logreg,0.5428367777275531,0.2262433038673562,0.31659347386019693,0.625,0.375,0.5925925925925926,0.40740740740740744,0.5555555555555556,0.4444444444444444,0.26229508196721313,0.47540983606557374,0.6721311475409836
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_confidence_option__mlp,0.550320279254244,0.23372680539404705,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6111111111111112,0.38888888888888884,0.5277777777777778,0.4722222222222222,0.21311475409836064,0.45901639344262296,0.6885245901639344
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_confidence_option__extratrees,0.5439687338451767,0.22737525998497982,0.31659347386019693,0.6111111111111112,0.38888888888888884,0.5555555555555556,0.4444444444444444,0.5,0.5,0.2786885245901639,0.5081967213114754,0.7049180327868853
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_confidence_option__hgb,0.5914789212761133,0.2748854474159164,0.31659347386019693,0.6111111111111112,0.38888888888888884,0.5925925925925926,0.40740740740740744,0.5555555555555556,0.4444444444444444,0.2786885245901639,0.47540983606557374,0.6721311475409836
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,hidden_summary_only__logreg,0.6967037995665093,0.38011032570631237,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.6851851851851852,0.31481481481481477,0.6666666666666666,0.33333333333333337,0.18032786885245902,0.39344262295081966,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,hidden_summary_only__mlp,0.7384025785341642,0.4218091046739673,0.31659347386019693,0.7083333333333334,0.29166666666666663,0.6666666666666666,0.33333333333333337,0.75,0.25,0.16393442622950818,0.4098360655737705,0.5573770491803278
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,hidden_summary_only__extratrees,0.6485682313997734,0.33197475753957645,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.7037037037037037,0.2962962962962963,0.6388888888888888,0.36111111111111116,0.18032786885245902,0.3770491803278688,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,hidden_summary_only__hgb,0.651672208088407,0.33507873422821005,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.6666666666666666,0.33333333333333337,0.7222222222222222,0.2777777777777778,0.18032786885245902,0.4098360655737705,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_hidden_summary__logreg,0.5752601210223485,0.25866664716215154,0.31659347386019693,0.625,0.375,0.6111111111111112,0.38888888888888884,0.5277777777777778,0.4722222222222222,0.26229508196721313,0.45901639344262296,0.6885245901639344
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_hidden_summary__mlp,0.7392310401357307,0.4226375662755338,0.31659347386019693,0.7083333333333334,0.29166666666666663,0.7037037037037037,0.2962962962962963,0.7222222222222222,0.2777777777777778,0.16393442622950818,0.3770491803278688,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_hidden_summary__extratrees,0.5383307803136197,0.22173730645342277,0.31659347386019693,0.6111111111111112,0.38888888888888884,0.5925925925925926,0.40740740740740744,0.4722222222222222,0.5277777777777778,0.2786885245901639,0.47540983606557374,0.7213114754098361
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_hidden_summary__hgb,0.5634539775971609,0.24686050373696394,0.31659347386019693,0.625,0.375,0.5185185185185185,0.4814814814814815,0.5,0.5,0.26229508196721313,0.5409836065573771,0.7049180327868853
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,pca_hidden_embeddings__logreg,0.7137972392753207,0.39720376541512376,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.6851851851851852,0.31481481481481477,0.75,0.25,0.18032786885245902,0.39344262295081966,0.5573770491803278
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,pca_hidden_embeddings__mlp,0.6274909795801192,0.3108975057199223,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6111111111111112,0.38888888888888884,0.6111111111111112,0.38888888888888884,0.21311475409836064,0.45901639344262296,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,pca_hidden_embeddings__extratrees,0.7118464163784584,0.39525294251826143,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.7222222222222222,0.2777777777777778,0.75,0.25,0.18032786885245902,0.36065573770491804,0.5573770491803278
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,pca_hidden_embeddings__hgb,0.7303030131797772,0.41370953931958027,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.7222222222222222,0.2777777777777778,0.75,0.25,0.18032786885245902,0.36065573770491804,0.5573770491803278
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_pca_hidden__logreg,0.6439687874332456,0.32737531357304867,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6481481481481481,0.35185185185185186,0.6388888888888888,0.36111111111111116,0.22950819672131148,0.4262295081967213,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_pca_hidden__mlp,0.6846300908338835,0.36803661697368656,0.31659347386019693,0.7222222222222222,0.2777777777777778,0.6666666666666666,0.33333333333333337,0.6944444444444444,0.3055555555555556,0.14754098360655737,0.4098360655737705,0.5901639344262295
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_pca_hidden__extratrees,0.5737647607604625,0.2571712869002655,0.31659347386019693,0.6111111111111112,0.38888888888888884,0.5925925925925926,0.40740740740740744,0.5,0.5,0.2786885245901639,0.47540983606557374,0.7049180327868853
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,123,cheap_plus_pca_hidden__hgb,0.6113624503215017,0.2947689764613048,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6851851851851852,0.31481481481481477,0.6666666666666666,0.33333333333333337,0.21311475409836064,0.39344262295081966,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,direct_pmax,0.6915783028017962,0.3749848289415993,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6388888888888888,0.36111111111111116,0.21311475409836064,0.4098360655737705,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,cheap_confidence_option__logreg,0.623900829460432,0.3073073556002351,0.31659347386019693,0.625,0.375,0.6481481481481481,0.35185185185185186,0.6388888888888888,0.36111111111111116,0.26229508196721313,0.4262295081967213,0.6229508196721312
