model_key,dataset,seed,layer,cheap_auc,hidden_only_auc,cheap_plus_layer_auc,gain_over_cheap,pca_explained_variance,n_total
deepseek_r1_qwen7b,hellaswag,2025,middle,0.5543066798672179,0.4797041523498922,0.5239065866868557,-0.030400093180362187,0.815985918045044,1000
deepseek_r1_qwen7b,hellaswag,2025,late,0.5543066798672179,0.481393046415468,0.501252111117582,-0.05305456874963588,0.799896240234375,1000
deepseek_r1_qwen7b,hellaswag,2025,final,0.5543066798672179,0.47265738745559377,0.49502067439287173,-0.059286005474346204,0.8346604108810425,1000
deepseek_r1_qwen7b,hellaswag,2025,all,0.5543066798672179,0.47463747015316526,0.5014268242967794,-0.052879855570438505,0.7696080803871155,1000
deepseek_r1_qwen7b,mmlu_all,42,early,0.5493497382764018,0.47493389455506985,0.5168636339107442,-0.032486104365657575,0.8934928178787231,1000
deepseek_r1_qwen7b,mmlu_all,42,middle,0.5493497382764018,0.46306189628190597,0.5279801413847066,-0.021369596891695153,0.8712259531021118,1000
deepseek_r1_qwen7b,mmlu_all,42,late,0.5493497382764018,0.4437429172737575,0.5050455992660946,-0.044304139010307164,0.8596103191375732,1000
deepseek_r1_qwen7b,mmlu_all,42,final,0.5493497382764018,0.4460633532998759,0.5018077815552319,-0.0475419567211699,0.8896806240081787,1000
deepseek_r1_qwen7b,mmlu_all,42,all,0.5493497382764018,0.4579353515730398,0.5054233446656953,-0.04392639361070649,0.8556346893310547,1000
deepseek_r1_qwen7b,mmlu_all,7,early,0.5747666073066752,0.5553397010414981,0.5996978036803196,0.024931196373644382,0.8899289965629578,1000
deepseek_r1_qwen7b,mmlu_all,7,middle,0.5747666073066752,0.5022934542118612,0.5489719928768011,-0.025794614429874074,0.8706979751586914,1000
deepseek_r1_qwen7b,mmlu_all,7,late,0.5747666073066752,0.4913928012519561,0.5349414494630619,-0.03982515784361329,0.860602855682373,1000
deepseek_r1_qwen7b,mmlu_all,7,final,0.5747666073066752,0.5443850844530786,0.5786519885597108,0.0038853812530356135,0.8865976333618164,1000
deepseek_r1_qwen7b,mmlu_all,7,all,0.5747666073066752,0.5092547622902164,0.5561491554692137,-0.01861745183746144,0.8524825572967529,1000
deepseek_r1_qwen7b,mmlu_all,123,early,0.6413577248934219,0.5355350493767201,0.6056877664454158,-0.035669958448006134,0.8862634301185608,1000
deepseek_r1_qwen7b,mmlu_all,123,middle,0.6413577248934219,0.46468080513733745,0.5332146133506017,-0.10814311154282019,0.8667203187942505,1000
deepseek_r1_qwen7b,mmlu_all,123,late,0.6413577248934219,0.5197237062220064,0.5761696616480492,-0.06518806324537274,0.8580570220947266,1000
deepseek_r1_qwen7b,mmlu_all,123,final,0.6413577248934219,0.4855107657438887,0.5442231935675356,-0.09713453132588634,0.8840275406837463,1000
deepseek_r1_qwen7b,mmlu_all,123,all,0.6413577248934219,0.48448545680211536,0.5506988289892611,-0.09065889590416076,0.8491355180740356,1000
deepseek_r1_qwen7b,mmlu_all,777,early,0.5282499595272785,0.3949058334682424,0.4430413901030705,-0.08520856942420801,0.8919037580490112,1000
deepseek_r1_qwen7b,mmlu_all,777,middle,0.5282499595272785,0.4224272840105769,0.4618746964545897,-0.06637526307268882,0.8687755465507507,1000
deepseek_r1_qwen7b,mmlu_all,777,late,0.5282499595272785,0.47153418595866387,0.5199935243645782,-0.008256435162700249,0.8585222959518433,1000
deepseek_r1_qwen7b,mmlu_all,777,final,0.5282499595272785,0.47293724030003775,0.48966596513949595,-0.03858399438778254,0.88913494348526,1000
deepseek_r1_qwen7b,mmlu_all,777,all,0.5282499595272785,0.4199989207274298,0.44811397118342233,-0.08013598834385616,0.8543839454650879,1000
