model_key,dataset,sample_size,seed,feature_set,auroc,pca_explained_variance
deepseek_r1_qwen7b,mmlu_all,100,42,cheap_confidence_option,0.7248677248677249,
deepseek_r1_qwen7b,mmlu_all,100,42,cheap_plus_pca_hidden,0.6666666666666666,0.9980745315551758
deepseek_r1_qwen7b,mmlu_all,100,7,cheap_confidence_option,0.417989417989418,
deepseek_r1_qwen7b,mmlu_all,100,7,cheap_plus_pca_hidden,0.36507936507936506,0.99761962890625
deepseek_r1_qwen7b,mmlu_all,100,123,cheap_confidence_option,0.5343915343915344,
deepseek_r1_qwen7b,mmlu_all,100,123,cheap_plus_pca_hidden,0.6031746031746033,0.9978955984115601
deepseek_r1_qwen7b,mmlu_all,100,777,cheap_confidence_option,0.7248677248677249,
deepseek_r1_qwen7b,mmlu_all,100,777,cheap_plus_pca_hidden,0.5555555555555556,0.9971359968185425
deepseek_r1_qwen7b,mmlu_all,100,2025,cheap_confidence_option,0.5343915343915344,
deepseek_r1_qwen7b,mmlu_all,100,2025,cheap_plus_pca_hidden,0.4603174603174603,0.9971493482589722
deepseek_r1_qwen7b,mmlu_all,300,42,cheap_confidence_option,0.6322115384615384,
deepseek_r1_qwen7b,mmlu_all,300,42,cheap_plus_pca_hidden,0.5859375,0.9107806086540222
deepseek_r1_qwen7b,mmlu_all,300,7,cheap_confidence_option,0.5516826923076923,
deepseek_r1_qwen7b,mmlu_all,300,7,cheap_plus_pca_hidden,0.485576923076923,0.9211153984069824
deepseek_r1_qwen7b,mmlu_all,300,123,cheap_confidence_option,0.5919471153846154,
deepseek_r1_qwen7b,mmlu_all,300,123,cheap_plus_pca_hidden,0.5222355769230769,0.9030040502548218
deepseek_r1_qwen7b,mmlu_all,300,777,cheap_confidence_option,0.5318509615384616,
deepseek_r1_qwen7b,mmlu_all,300,777,cheap_plus_pca_hidden,0.6153846153846154,0.9030054211616516
deepseek_r1_qwen7b,mmlu_all,300,2025,cheap_confidence_option,0.43689903846153844,
deepseek_r1_qwen7b,mmlu_all,300,2025,cheap_plus_pca_hidden,0.4795673076923077,0.913888156414032
deepseek_r1_qwen7b,mmlu_all,500,42,cheap_confidence_option,0.5615351629502572,
deepseek_r1_qwen7b,mmlu_all,500,42,cheap_plus_pca_hidden,0.6018439108061749,0.8811746835708618
deepseek_r1_qwen7b,mmlu_all,500,7,cheap_confidence_option,0.5885506003430532,
deepseek_r1_qwen7b,mmlu_all,500,7,cheap_plus_pca_hidden,0.5210120068610634,0.884265124797821
deepseek_r1_qwen7b,mmlu_all,500,123,cheap_confidence_option,0.5834048027444254,
deepseek_r1_qwen7b,mmlu_all,500,123,cheap_plus_pca_hidden,0.576114922813036,0.8761453628540039
deepseek_r1_qwen7b,mmlu_all,500,777,cheap_confidence_option,0.5531732418524873,
deepseek_r1_qwen7b,mmlu_all,500,777,cheap_plus_pca_hidden,0.5199399656946826,0.8623542189598083
deepseek_r1_qwen7b,mmlu_all,500,2025,cheap_confidence_option,0.5771869639794168,
deepseek_r1_qwen7b,mmlu_all,500,2025,cheap_plus_pca_hidden,0.5611063464837049,0.8776077032089233
deepseek_r1_qwen7b,mmlu_all,1000,42,cheap_confidence_option,0.5521018833306351,
deepseek_r1_qwen7b,mmlu_all,1000,42,cheap_plus_pca_hidden,0.5722842803950138,0.8559757471084595
deepseek_r1_qwen7b,mmlu_all,1000,7,cheap_confidence_option,0.6221466731423022,
deepseek_r1_qwen7b,mmlu_all,1000,7,cheap_plus_pca_hidden,0.587178241864983,0.852994441986084
deepseek_r1_qwen7b,mmlu_all,1000,123,cheap_confidence_option,0.5645135178889428,
deepseek_r1_qwen7b,mmlu_all,1000,123,cheap_plus_pca_hidden,0.5175111974529167,0.8538625240325928
deepseek_r1_qwen7b,mmlu_all,1000,777,cheap_confidence_option,0.6444336517187416,
deepseek_r1_qwen7b,mmlu_all,1000,777,cheap_plus_pca_hidden,0.5199395607360638,0.849492073059082
deepseek_r1_qwen7b,mmlu_all,1000,2025,cheap_confidence_option,0.5802169337866278,
deepseek_r1_qwen7b,mmlu_all,1000,2025,cheap_plus_pca_hidden,0.5477847930494846,0.8423007726669312
falcon3_7b_instruct,arc_challenge,100,42,cheap_confidence_option,0.736,
falcon3_7b_instruct,arc_challenge,100,42,cheap_plus_pca_hidden,0.624,0.9817101359367371
falcon3_7b_instruct,arc_challenge,100,7,cheap_confidence_option,0.704,
falcon3_7b_instruct,arc_challenge,100,7,cheap_plus_pca_hidden,0.648,0.9810287356376648
falcon3_7b_instruct,arc_challenge,100,123,cheap_confidence_option,0.688,
falcon3_7b_instruct,arc_challenge,100,123,cheap_plus_pca_hidden,0.784,0.9808892607688904
falcon3_7b_instruct,arc_challenge,100,777,cheap_confidence_option,0.776,
falcon3_7b_instruct,arc_challenge,100,777,cheap_plus_pca_hidden,0.784,0.981734037399292
falcon3_7b_instruct,arc_challenge,100,2025,cheap_confidence_option,0.856,
falcon3_7b_instruct,arc_challenge,100,2025,cheap_plus_pca_hidden,0.912,0.9804587960243225
falcon3_7b_instruct,commonsenseqa,100,42,cheap_confidence_option,0.8695652173913044,
falcon3_7b_instruct,commonsenseqa,100,42,cheap_plus_pca_hidden,0.8509316770186335,0.978212833404541
falcon3_7b_instruct,commonsenseqa,100,7,cheap_confidence_option,0.6645962732919255,
falcon3_7b_instruct,commonsenseqa,100,7,cheap_plus_pca_hidden,0.7391304347826086,0.979915976524353
falcon3_7b_instruct,commonsenseqa,100,123,cheap_confidence_option,0.7763975155279503,
falcon3_7b_instruct,commonsenseqa,100,123,cheap_plus_pca_hidden,0.7701863354037267,0.9791868925094604
falcon3_7b_instruct,commonsenseqa,100,777,cheap_confidence_option,0.7453416149068323,
falcon3_7b_instruct,commonsenseqa,100,777,cheap_plus_pca_hidden,0.4720496894409938,0.979412853717804
falcon3_7b_instruct,commonsenseqa,100,2025,cheap_confidence_option,0.5590062111801243,
falcon3_7b_instruct,commonsenseqa,100,2025,cheap_plus_pca_hidden,0.6149068322981366,0.9781829118728638
falcon3_7b_instruct,commonsenseqa,300,42,cheap_confidence_option,0.7578571428571429,
falcon3_7b_instruct,commonsenseqa,300,42,cheap_plus_pca_hidden,0.7721428571428571,0.7380485534667969
falcon3_7b_instruct,commonsenseqa,300,7,cheap_confidence_option,0.7335714285714285,
falcon3_7b_instruct,commonsenseqa,300,7,cheap_plus_pca_hidden,0.6985714285714286,0.7384611368179321
falcon3_7b_instruct,commonsenseqa,300,123,cheap_confidence_option,0.7914285714285715,
falcon3_7b_instruct,commonsenseqa,300,123,cheap_plus_pca_hidden,0.6771428571428573,0.7394027709960938
falcon3_7b_instruct,commonsenseqa,300,777,cheap_confidence_option,0.6907142857142857,
falcon3_7b_instruct,commonsenseqa,300,777,cheap_plus_pca_hidden,0.6900000000000001,0.7366021871566772
falcon3_7b_instruct,commonsenseqa,300,2025,cheap_confidence_option,0.7357142857142858,
falcon3_7b_instruct,commonsenseqa,300,2025,cheap_plus_pca_hidden,0.6950000000000001,0.7402229309082031
falcon3_7b_instruct,commonsenseqa,500,42,cheap_confidence_option,0.8311318311318312,
falcon3_7b_instruct,commonsenseqa,500,42,cheap_plus_pca_hidden,0.7311577311577311,0.683147668838501
falcon3_7b_instruct,commonsenseqa,500,7,cheap_confidence_option,0.7544677544677545,
falcon3_7b_instruct,commonsenseqa,500,7,cheap_plus_pca_hidden,0.7249417249417248,0.6847876310348511
falcon3_7b_instruct,commonsenseqa,500,123,cheap_confidence_option,0.8329448329448329,
