model,dataset,seed,split_mode,family,candidate,C,pca_dim,n,accuracy,n_correct,n_failures,n_train,n_val,n_test,test_failures,analysis_group,cheap_cols,hidden_key,val_auroc_correct,val_auprc_failure,val_aurc,val_eaurc,val_risk_at_80,val_risk_at_60,val_risk_at_40,val_failure_precision_at_20_abstain,val_failure_recall_at_20_abstain,test_auroc_correct,test_auprc_failure,test_aurc,test_eaurc,test_risk_at_80,test_risk_at_60,test_risk_at_40,test_failure_precision_at_20_abstain,test_failure_recall_at_20_abstain
deepseek_r1_qwen7b,arc_challenge,1,stratified,hidden_pca,hidden_pca_16,0.1,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.53,0.7181390740469877,0.6658621947040008,0.36546133552890825,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666666,0.2,0.4236200256739409,0.629712743529475,0.6940715149506784,0.37494069873434055,0.7291666666666666,0.75,0.6666666666666666,0.5,0.14634146341463414
deepseek_r1_qwen7b,arc_challenge,1,stratified,hidden_pca,hidden_pca_16,1.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5237499999999999,0.7124406720349212,0.6695253275338003,0.3691244683587078,0.6875,0.6666666666666666,0.625,0.5833333333333334,0.175,0.4261874197689345,0.6309663113863927,0.7168418287817326,0.39771101256539476,0.75,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.12195121951219512
deepseek_r1_qwen7b,arc_challenge,1,stratified,hidden_pca,hidden_pca_16,10.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5225,0.7120392323892955,0.6704512534597263,0.3700503942846338,0.6875,0.6666666666666666,0.625,0.5833333333333334,0.175,0.42747111681643135,0.6317286936306987,0.7163292626441666,0.39719844642782876,0.75,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.12195121951219512
deepseek_r1_qwen7b,arc_challenge,1,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,0.1,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.7112499999999999,0.8238492305099467,0.47483331324127837,0.17443245406618585,0.6041666666666666,0.5555555555555556,0.5416666666666666,0.9166666666666666,0.275,0.6726572528883183,0.7867338220019885,0.5709605414072415,0.25182972519090363,0.6458333333333334,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.24390243902439024
deepseek_r1_qwen7b,arc_challenge,1,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,1.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6974999999999999,0.8117726153369511,0.4820109501359138,0.18161009096082126,0.625,0.6111111111111112,0.4583333333333333,0.8333333333333334,0.25,0.6662387676508343,0.7810450920358114,0.5851453290961692,0.26601451287983136,0.6458333333333334,0.5833333333333334,0.5,0.8333333333333334,0.24390243902439024
deepseek_r1_qwen7b,arc_challenge,1,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,10.0,16,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6762499999999999,0.8040077472031477,0.5181887081700134,0.21778784899492087,0.625,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.25,0.6354300385109115,0.7739316945006401,0.605822690430554,0.28669187421421616,0.6458333333333334,0.6111111111111112,0.5833333333333334,0.8333333333333334,0.24390243902439024
deepseek_r1_qwen7b,arc_challenge,1,stratified,hidden_pca,hidden_pca_32,0.1,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5275,0.7035593386389092,0.6839504409046994,0.38354958172960685,0.6666666666666666,0.6388888888888888,0.625,0.6666666666666666,0.2,0.4428754813863928,0.6697985025318973,0.7568115728280709,0.437680756611733,0.6666666666666666,0.6944444444444444,0.75,0.75,0.21951219512195122
deepseek_r1_qwen7b,arc_challenge,1,stratified,hidden_pca,hidden_pca_32,1.0,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5375000000000001,0.7043945957795728,0.6742372736085688,0.37383641443347626,0.6666666666666666,0.6388888888888888,0.5833333333333334,0.6666666666666666,0.2,0.4621309370988447,0.6796944539321843,0.7482964955839269,0.429165679367589,0.6666666666666666,0.6666666666666666,0.75,0.75,0.21951219512195122
deepseek_r1_qwen7b,arc_challenge,1,stratified,hidden_pca,hidden_pca_32,10.0,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.5425000000000001,0.7068305115249335,0.6713858418861695,0.37098498271107694,0.6666666666666666,0.6388888888888888,0.5833333333333334,0.6666666666666666,0.2,0.4621309370988447,0.6807298249579526,0.7499563248347525,0.4308255086184146,0.6666666666666666,0.6666666666666666,0.75,0.75,0.21951219512195122
deepseek_r1_qwen7b,arc_challenge,1,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,0.1,32,299,0.32441471571906355,97,202,179,60,60,41,deepseek_stress_test,n_options|p_max|prob_margin|entropy|logit_margin|prob_A|prob_B|prob_C|prob_D|logit_A|logit_B|logit_C|logit_D|early_layer7_max|late_layer21_max|final_layer28_max,all,0.6412500000000001,0.7802935990831397,0.529810854909852,0.2294099957347595,0.6458333333333334,0.6111111111111112,0.5833333333333334,0.75,0.225,0.6739409499358151,0.7845076900136781,0.5558998800475851,0.23676906383124718,0.6458333333333334,0.5833333333333334,0.4583333333333333,0.8333333333333334,0.24390243902439024
