model,dataset,seed,split_mode,family,candidate,C,pca_dim,n,accuracy,n_correct,n_failures,n_train,n_val,n_test,test_failures,analysis_group,cheap_cols,hidden_key,val_auroc_correct,val_auprc_failure,val_aurc,val_eaurc,val_risk_at_80,val_risk_at_60,val_risk_at_40,val_failure_precision_at_20_abstain,val_failure_recall_at_20_abstain,test_auroc_correct,test_auprc_failure,test_aurc,test_eaurc,test_risk_at_80,test_risk_at_60,test_risk_at_40,test_failure_precision_at_20_abstain,test_failure_recall_at_20_abstain,selected_by,test_auroc_correct_ci_low,test_auroc_correct_ci_high,test_auprc_failure_ci_low,test_auprc_failure_ci_high,test_risk_at_80_ci_low,test_risk_at_80_ci_high,test_risk_at_60_ci_low,test_risk_at_60_ci_high,test_risk_at_40_ci_low,test_risk_at_40_ci_high,test_aurc_ci_low,test_aurc_ci_high,test_eaurc_ci_low,test_eaurc_ci_high,test_failure_precision_at_20_abstain_ci_low,test_failure_precision_at_20_abstain_ci_high,test_failure_recall_at_20_abstain_ci_low,test_failure_recall_at_20_abstain_ci_high
llama31_8b_instruct,arc_challenge,0,stratified,confidence_option,cheap,10.0,0,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.8611111111111112,0.5290724647235536,0.050607731622407684,0.029132988599169456,0.14583333333333334,0.027777777777777776,0.0,0.4166666666666667,0.4166666666666667,0.826388888888889,0.4425914700531069,0.058493358115375885,0.037018615092137656,0.125,0.027777777777777776,0.0,0.5,0.5,validation_auroc_locked,0.6990661931818182,0.9238782051282051,0.267014182460074,0.7348696476210608,0.041666666666666664,0.25,0.0,0.1388888888888889,0.0,0.08333333333333333,0.02034734202793628,0.11137909959657985,0.011259891638481867,0.07544667214109871,0.16666666666666666,0.75,0.18181818181818182,0.789444444444444
llama31_8b_instruct,arc_challenge,0,stratified,hidden_pca,hidden_pca_32,0.1,32,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.4670138888888889,0.18972006383845008,0.17968258569067347,0.15820784266743523,0.22916666666666666,0.25,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.6215277777777778,0.3913843758052768,0.13654370995166118,0.11506896692842294,0.14583333333333334,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.4166666666666667,validation_auroc_locked,0.4383579094516594,0.7897365196078429,0.21409075414646764,0.7267379597652164,0.0625,0.25,0.05555555555555555,0.2923611111111105,0.041666666666666664,0.3333333333333333,0.04615548430445048,0.24242579688212854,0.03841714258082753,0.19976600652016444,0.1229166666666667,0.75,0.14807692307692308,0.6666666666666666
llama31_8b_instruct,arc_challenge,0,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,10.0,32,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.8402777777777779,0.5321075946075947,0.05741887248675452,0.03594412946351629,0.10416666666666667,0.05555555555555555,0.041666666666666664,0.5833333333333334,0.5833333333333334,0.8246527777777778,0.5288571767738435,0.062430883215744165,0.04095614019250594,0.125,0.08333333333333333,0.041666666666666664,0.5,0.5,validation_auroc_locked,0.705423987776929,0.930796151885013,0.2951109673372604,0.8181114287364287,0.030729166666666675,0.22916666666666666,0.0,0.16666666666666666,0.0,0.125,0.017923697290125565,0.12543644735600845,0.010729024731406562,0.08225120148123746,0.25,0.8333333333333334,0.3,0.789444444444444
llama31_8b_instruct,arc_challenge,1,stratified,confidence_option,cheap,0.1,0,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.7864583333333333,0.5035568182261255,0.10615844829493086,0.08468370527169264,0.125,0.027777777777777776,0.041666666666666664,0.5,0.5,0.9097222222222222,0.6901261871656609,0.039491256441630755,0.018016513418392527,0.125,0.0,0.0,0.5,0.5,validation_auroc_locked,0.8169259259259259,0.9724200756312117,0.4390305532950993,0.8933545305704397,0.020833333333333332,0.22916666666666666,0.0,0.08333333333333333,0.0,0.0,0.011409358286725553,0.0848571339858794,0.004372355226042102,0.04103475041938571,0.25,0.8333333333333334,0.3333333333333333,0.8888888888888888
llama31_8b_instruct,arc_challenge,1,stratified,hidden_pca,hidden_pca_32,0.1,32,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.5711805555555556,0.28140045951083587,0.1515385639393312,0.13006382091609298,0.1875,0.16666666666666666,0.16666666666666666,0.25,0.25,0.6197916666666666,0.3751576957081313,0.14867136248525264,0.1271966194620144,0.1875,0.1388888888888889,0.125,0.25,0.25,validation_auroc_locked,0.43905380333951766,0.7920849116161615,0.19178352380065455,0.6076173388015493,0.07239583333333334,0.2916666666666667,0.05555555555555555,0.2777777777777778,0.0,0.2916666666666667,0.04410062367249592,0.2738410559297022,0.03849900056412206,0.23463592587519222,0.0,0.5833333333333334,0.0,0.5
llama31_8b_instruct,arc_challenge,1,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_16,0.1,16,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.7708333333333334,0.46499300874945865,0.08873100959557115,0.06725626657233291,0.14583333333333334,0.08333333333333333,0.041666666666666664,0.4166666666666667,0.4166666666666667,0.9201388888888888,0.731155223918382,0.038532446317080735,0.017057703293842506,0.0625,0.027777777777777776,0.0,0.75,0.75,validation_auroc_locked,0.8243384615384616,0.9780065359477124,0.4684353383587573,0.9466845580309019,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.008666857449492927,0.07956880416623212,0.003289843938249301,0.039903770852476525,0.3333333333333333,1.0,0.4492424242424242,1.0
llama31_8b_instruct,arc_challenge,2,stratified,confidence_option,cheap,1.0,0,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.8715277777777778,0.6155900259161129,0.04911062902455025,0.02763588600131202,0.10416666666666667,0.05555555555555555,0.0,0.5833333333333334,0.5833333333333334,0.8506944444444445,0.5696148551647273,0.05349910922657748,0.032024366203339254,0.125,0.027777777777777776,0.0,0.5,0.5,validation_auroc_locked,0.7541065705128205,0.9326094090971085,0.3227205231585457,0.7993305489898628,0.020833333333333332,0.24010416666666617,0.0,0.1388888888888889,0.0,0.08333333333333333,0.0192841297173231,0.10427366626015434,0.009555842137944238,0.06104884191525435,0.16666666666666666,0.75,0.19045454545454546,0.8665178571428567
llama31_8b_instruct,arc_challenge,2,stratified,hidden_pca,hidden_pca_16,0.1,16,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.5989583333333333,0.32323139823139824,0.16261472944542965,0.14113998642219142,0.16666666666666666,0.1388888888888889,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.5572916666666667,0.25865374525120416,0.18602026453796086,0.16454552151472263,0.1875,0.16666666666666666,0.16666666666666666,0.25,0.25,validation_auroc_locked,0.37340519480519485,0.7428571989693312,0.12131604668935334,0.5177747034895377,0.08333333333333333,0.3234374999999995,0.05555555555555555,0.2777777777777778,0.041666666666666664,0.2916666666666667,0.058192135633723184,0.3249789077143821,0.05016594343792685,0.29099001718948087,0.0,0.5833333333333334,0.0,0.5
llama31_8b_instruct,arc_challenge,2,stratified,cheap_plus_hidden_pca,cheap_plus_hidden_pca_32,10.0,32,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.8489583333333333,0.5807699245199245,0.057579226507213886,0.03610448348397566,0.08333333333333333,0.08333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.8454861111111112,0.6220258136924803,0.0643943225675148,0.042919579544276575,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.6666666666666666,0.6666666666666666,validation_auroc_locked,0.7063520833333333,0.9790054555373703,0.3709266685695257,0.9319999999999994,0.020833333333333332,0.1875,0.0,0.16666666666666666,0.0,0.125,0.016383697053788688,0.13541271324691412,0.004555740255025313,0.09535667114968846,0.3333333333333333,0.9166666666666666,0.4578671328671329,0.9
llama31_8b_instruct,arc_challenge,3,stratified,confidence_option,cheap,1.0,0,299,0.7993311036789298,239,60,179,60,60,12,primary_protocol_compatible,n_options|top_prob|margin|entropy,H_early,0.8715277777777778,0.6449004699004699,0.04904575660155153,0.0275710135783133,0.10416666666666667,0.05555555555555555,0.0,0.5833333333333334,0.5833333333333334,0.8871527777777778,0.5890692110177405,0.04413985446781759,0.02266511144457936,0.125,0.027777777777777776,0.0,0.5,0.5,validation_auroc_locked,0.7967996289424861,0.9627282313983714,0.36494603696741856,0.8459626831501832,0.0,0.25,0.0,0.08333333333333333,0.0,0.0,0.012463237629418094,0.09522963699778318,0.006050680615858033,0.04721944925428891,0.25,0.75,0.26319444444444445,1.0
